 ,Mean1,XM1,YM1
1,-3502.300,223.501,107.000
2,-3503.086,223.501,107.000
3,-3504.443,223.499,107.001
4,-3505.857,223.500,107.000
5,-3506.529,223.502,107.000
6,-3506.543,223.500,106.999
7,-3506.557,223.500,107.000
8,-3505.414,223.500,107.000
9,-3504.400,223.500,107.001
10,-3506.614,223.500,107.000
11,-3507.386,223.500,107.000
12,-3506.129,223.499,106.999
13,-3505.100,223.500,106.999
14,-3504.600,223.500,107.000
15,-3504.814,223.499,107.000
16,-3504.971,223.501,107.001
17,-3508.186,223.500,107.001
18,-3504.586,223.499,106.999
19,-3506.329,223.501,107.000
20,-3506.843,223.500,106.999
21,-3504.814,223.501,107.000
22,-3506.357,223.500,107.000
23,-3507.843,223.500,107.000
24,-3508.629,223.500,107.000
25,-3508.586,223.500,106.999
26,-3505.029,223.501,106.999
27,-3505.600,223.500,106.999
28,-3506.171,223.499,107.001
29,-3507.029,223.501,107.000
30,-3507.514,223.500,107.000
31,-3507.243,223.500,107.000
32,-3505.457,223.500,107.002
33,-3505.871,223.500,106.999
34,-3505.371,223.499,107.001
35,-3509.114,223.500,107.000
36,-3507.072,223.499,106.999
37,-3507.300,223.499,107.000
38,-3506.443,223.500,106.998
39,-3506.000,223.501,107.000
40,-3507.257,223.500,107.001
41,-3507.386,223.501,107.001
42,-3508.786,223.500,106.999
43,-3506.629,223.499,106.999
44,-3505.914,223.501,107.001
45,-3505.243,223.500,107.000
46,-3504.843,223.501,107.000
47,-3507.514,223.500,107.001
48,-3508.072,223.501,107.001
49,-3506.971,223.501,107.000
50,-3507.257,223.500,107.001
51,-3504.886,223.500,107.000
52,-3506.200,223.500,106.999
53,-3507.257,223.501,107.001
54,-3508.843,223.501,107.000
55,-3507.029,223.501,106.999
56,-3505.914,223.500,107.000
57,-3505.957,223.498,107.000
58,-3506.786,223.500,107.001
59,-3505.900,223.500,107.000
60,-3506.771,223.500,106.999
61,-3506.871,223.500,106.999
62,-3505.443,223.501,106.999
63,-3505.271,223.500,107.000
64,-3505.243,223.500,107.001
65,-3506.843,223.501,107.001
66,-3508.357,223.500,107.000
67,-3505.671,223.500,106.999
68,-3505.329,223.501,107.000
69,-3505.643,223.501,107.001
70,-3506.271,223.500,107.000
71,-3507.500,223.501,107.001
72,-3508.714,223.500,107.000
73,-3506.286,223.500,106.999
74,-3506.029,223.500,106.999
75,-3503.871,223.500,107.000
76,-3505.271,223.500,107.001
77,-3506.800,223.499,107.001
78,-3509.000,223.500,107.000
79,-3506.557,223.500,107.000
80,-3504.157,223.500,107.000
81,-3506.129,223.500,107.001
82,-3504.572,223.500,107.001
83,-3508.014,223.500,107.001
84,-290.514,223.491,106.931
85,45.471,223.484,106.976
86,33.471,223.406,107.089
87,31.686,223.600,106.949
88,30.243,223.638,107.098
89,32.000,223.513,106.942
90,32.529,223.606,107.040
91,30.443,223.324,106.995
92,32.186,223.540,107.074
93,32.000,223.462,106.884
94,31.557,223.520,106.951
95,31.729,223.568,107.030
96,31.300,223.505,106.915
97,32.929,223.367,107.068
98,30.243,223.474,107.015
99,31.229,223.512,106.941
100,32.371,223.455,106.921
101,31.500,223.529,106.875
102,32.529,223.587,107.025
103,31.486,223.529,107.021
104,31.200,223.564,107.002
105,30.143,223.459,106.953
106,33.429,223.367,107.016
107,31.386,223.483,106.911
108,32.714,223.603,106.998
109,31.829,223.546,106.977
110,31.600,223.475,107.028
111,31.357,223.434,107.039
112,32.071,223.518,106.999
113,34.029,223.410,107.094
114,33.143,223.455,107.026
115,31.871,223.519,106.995
116,31.900,223.475,107.106
117,29.729,223.545,107.051
118,30.971,223.505,106.915
119,31.100,223.540,106.920
120,30.871,223.487,106.992
121,30.229,223.479,106.934
122,32.100,223.533,106.905
123,32.786,223.676,107.050
124,30.729,223.473,106.901
125,32.171,223.450,107.051
126,32.571,223.690,107.084
127,32.071,223.525,107.020
128,32.400,223.461,107.049
129,32.071,223.544,107.144
130,31.914,223.510,107.188
131,32.029,223.557,107.162
132,32.486,223.467,106.978
133,32.057,223.637,106.995
134,32.114,223.504,107.047
135,30.686,223.549,107.012
136,32.729,223.532,106.974
137,32.357,223.587,107.097
138,31.929,223.533,106.934
139,32.443,223.528,107.013
140,33.543,223.614,107.072
141,32.486,223.520,107.097
142,33.057,223.502,106.953
143,32.357,223.436,107.024
144,32.214,223.619,106.937
145,30.886,223.452,107.129
146,30.700,223.413,106.979
147,30.871,223.578,106.967
148,31.257,223.371,107.051
149,33.071,223.561,107.126
150,31.243,223.516,106.916
151,32.357,223.486,106.965
152,32.386,223.598,106.952
153,31.771,223.608,106.991
154,31.643,223.588,107.083
155,33.057,223.471,107.106
156,31.314,223.675,107.006
157,33.486,223.516,107.014
158,33.414,223.428,106.987
159,33.829,223.529,107.045
160,31.700,223.435,107.039
161,32.143,223.536,107.072
162,32.943,223.474,106.982
163,32.471,223.442,107.089
164,34.514,223.547,107.009
165,32.071,223.400,106.858
166,30.514,223.602,106.974
167,32.871,223.581,106.950
168,31.771,223.427,107.061
169,32.129,223.582,106.920
170,31.343,223.510,107.001
171,33.343,223.517,106.914
172,33.214,223.428,106.966
173,32.071,223.409,106.911
174,32.629,223.461,107.000
175,33.057,223.514,106.949
176,31.743,223.432,107.091
177,32.643,223.639,107.048
178,31.543,223.555,106.944
179,32.743,223.436,107.075
180,31.857,223.645,107.013
181,33.100,223.504,107.119
182,30.900,223.546,107.014
183,31.514,223.555,107.052
184,32.057,223.575,106.999
185,31.700,223.511,107.043
186,31.800,223.509,106.893
187,32.386,223.556,107.058
188,32.771,223.463,106.965
189,30.714,223.447,106.984
190,32.329,223.523,106.996
191,32.557,223.431,107.041
192,32.671,223.409,107.044
193,31.043,223.438,106.945
194,31.914,223.534,107.184
195,31.186,223.490,106.996
196,32.900,223.493,107.123
197,33.014,223.436,107.022
198,31.471,223.512,106.974
199,31.243,223.428,107.053
200,32.157,223.464,106.872
201,32.600,223.578,106.945
202,32.700,223.554,107.086
203,33.971,223.629,107.124
204,32.200,223.613,107.022
205,32.157,223.381,107.077
206,32.071,223.577,107.005
207,30.814,223.382,107.028
208,30.714,223.435,106.977
209,31.700,223.527,106.877
210,32.671,223.519,106.880
211,32.429,223.549,107.241
212,31.800,223.484,107.081
213,31.643,223.620,107.069
214,32.071,223.557,106.953
215,31.757,223.539,107.093
216,32.529,223.616,106.929
217,32.243,223.537,106.994
218,33.800,223.475,107.042
219,32.071,223.466,106.894
220,30.829,223.496,107.059
221,32.771,223.506,106.997
222,33.300,223.485,107.073
223,34.700,223.558,107.022
224,32.557,223.500,107.059
225,33.686,223.560,106.975
226,31.914,223.534,107.013
227,33.143,223.482,107.162
228,32.129,223.484,107.033
229,31.986,223.506,106.998
230,32.671,223.497,106.995
231,33.243,223.583,107.130
232,33.543,223.537,106.980
233,34.186,223.518,106.982
234,30.700,223.504,107.033
235,32.557,223.496,106.998
236,33.000,223.546,106.903
237,32.243,223.542,107.243
238,32.157,223.498,106.909
239,31.814,223.614,107.099
240,31.957,223.483,106.881
241,32.086,223.524,107.076
242,32.386,223.657,106.995
243,31.371,223.495,107.083
244,32.414,223.497,106.963
245,31.443,223.517,106.910
246,32.357,223.487,106.981
247,33.657,223.524,106.946
248,32.643,223.528,107.049
249,31.943,223.490,106.984
250,32.671,223.427,106.970
251,33.529,223.403,106.961
252,31.786,223.515,107.103
253,32.471,223.474,107.046
254,32.943,223.573,106.954
255,32.329,223.362,106.987
256,32.700,223.492,106.890
257,31.886,223.442,107.012
258,32.100,223.478,107.036
259,32.457,223.534,107.033
260,32.271,223.566,106.933
261,32.271,223.531,107.078
262,33.000,223.452,107.061
263,34.200,223.433,107.001
264,32.171,223.373,107.041
265,32.343,223.452,107.066
266,31.029,223.649,106.961
267,31.757,223.501,106.956
268,32.757,223.431,107.100
269,33.157,223.537,106.976
270,33.357,223.516,106.958
271,32.743,223.536,106.987
272,31.700,223.546,106.984
273,32.229,223.487,106.901
274,32.071,223.480,106.990
275,31.857,223.539,106.999
276,31.686,223.477,106.826
277,30.686,223.390,106.976
278,31.614,223.438,106.955
279,34.286,223.492,106.963
280,32.186,223.468,106.953
281,30.971,223.458,107.013
282,32.814,223.463,107.116
283,32.786,223.342,107.017
284,32.329,223.500,107.011
285,33.957,223.479,106.949
286,32.586,223.465,106.888
287,32.343,223.389,106.992
288,33.886,223.551,107.002
289,31.600,223.467,106.893
290,32.186,223.537,106.980
291,33.057,223.591,107.033
292,31.000,223.526,106.921
293,32.271,223.452,107.003
294,30.929,223.523,106.880
295,31.386,223.503,107.063
296,33.571,223.477,106.960
297,32.329,223.539,107.083
298,33.229,223.368,107.014
299,32.429,223.570,107.049
300,31.371,223.441,107.036
301,31.743,223.702,106.874
302,32.614,223.531,107.047
303,33.300,223.445,106.781
304,32.614,223.469,106.955
305,34.000,223.544,106.957
306,31.429,223.475,106.986
307,31.771,223.415,107.016
308,32.414,223.536,107.014
309,31.843,223.511,107.110
310,33.200,223.416,107.068
311,30.371,223.505,107.042
312,32.329,223.560,107.123
313,33.414,223.337,106.981
314,32.957,223.393,106.951
315,32.400,223.372,107.038
316,32.900,223.464,106.981
317,32.014,223.549,106.931
318,33.000,223.374,107.021
319,31.643,223.516,106.999
320,32.171,223.426,106.956
321,32.129,223.435,106.989
322,32.486,223.460,106.941
323,30.686,223.500,106.914
324,31.871,223.516,106.996
325,31.700,223.458,107.112
326,32.643,223.544,106.993
327,32.829,223.610,107.004
328,31.271,223.459,107.014
329,31.586,223.609,106.925
330,33.043,223.417,106.998
331,30.400,223.514,107.076
332,32.814,223.379,106.938
333,32.500,223.547,106.965
334,32.257,223.481,107.001
335,32.671,223.455,107.003
336,31.314,223.489,106.958
337,32.186,223.564,107.038
338,32.357,223.443,107.048
339,33.286,223.627,106.901
340,31.557,223.395,106.916
341,32.600,223.469,107.078
342,31.914,223.423,107.009
343,33.214,223.489,107.037
344,32.714,223.463,106.925
345,32.100,223.595,106.925
346,31.471,223.516,106.974
347,32.500,223.608,107.049
348,31.671,223.565,106.841
349,33.114,223.564,106.999
350,32.886,223.502,106.940
351,32.086,223.503,106.988
352,31.057,223.506,106.927
353,32.543,223.581,107.083
354,31.400,223.399,106.965
355,31.457,223.418,107.105
356,30.543,223.509,107.010
357,31.629,223.523,107.105
358,31.786,223.518,106.954
359,31.600,223.483,106.829
360,33.214,223.529,106.940
361,32.814,223.466,107.006
362,33.357,223.501,106.945
363,31.429,223.522,106.976
364,31.714,223.436,107.024
365,31.343,223.385,106.997
366,31.700,223.573,106.923
367,30.614,223.361,106.929
368,33.371,223.428,107.039
369,32.257,223.450,106.908
370,31.671,223.462,106.915
371,32.286,223.469,107.060
372,31.214,223.516,106.939
373,32.614,223.539,107.042
374,32.971,223.568,106.923
