 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,39.071,223.806,107.315,50.769,174.280,152.184,57.897,151.979,158.873,55.169,123.176,166.297,53.589,254.792,297.727,67.411,275.646,281.636,50.197,309.828,165.510,52.989,222.247,376.785,58.126,247.631,368.483,53.267,289.353,341.491,85.000,343.722,366.480,65.270,343.444,306.790,62.650,372.133,333.408,67.859,358.498,189.955,76.535,362.312,257.892,95.066,395.208,252.188,64.368,211.689,194.106,44.061,260.325,136.104,52.926,149.078,194.645,58.260,136.828,224.897,43.029,306.537,120.804,39.907,320.971,132.686,48.878,363.758,130.170,36.009,373.645,112.802,41.896,428.405,148.334,85.625,462.097,250.281,88.166,385.778,284.801,79.956,364.886,285.702,52.213,309.778,435.594,48.315,297.472,399.324,56.473,312.391,380.475,62.946,253.156,247.517,67.422,274.638,239.475,96.599,309.072,247.160,48.068,279.828,152.620,40.036,209.515,125.081,39.351,437.177,116.325,96.034,322.905,208.281,71.349,385.530,301.973,72.165,384.810,317.483,39.460,394.522,437.236,92.010,311.982,202.049,61.402,309.382,179.670,53.471,286.024,393.691,49.169,348.813,325.031,52.828,343.172,344.560,37.024,254.257,475.425,38.313,405.805,411.430,54.889,345.972,333.469,62.342,301.759,320.725,61.034,282.039,328.746,47.095,248.595,407.507
2,31.800,223.648,107.221,57.837,174.327,152.208,48.324,153.178,159.227,48.274,123.401,165.014,52.908,253.938,297.774,76.753,275.619,281.974,57.241,309.189,165.514,59.989,221.844,377.372,52.589,247.485,368.251,70.403,289.170,342.554,59.017,343.553,366.698,80.339,343.338,307.413,52.079,372.444,333.765,55.520,358.207,189.312,75.651,362.306,257.698,210.916,393.960,253.575,61.654,211.302,193.548,49.911,259.808,137.297,55.412,148.706,194.224,50.413,137.157,225.018,46.610,306.617,121.174,55.971,320.308,132.937,37.013,363.078,129.954,38.104,373.314,112.810,34.826,428.584,148.442,39.038,462.084,250.515,80.649,384.796,284.761,79.599,364.211,285.259,37.982,309.944,435.474,47.008,298.188,399.522,49.048,311.725,379.946,67.066,253.789,246.958,91.133,274.359,238.897,133.277,308.120,246.861,56.711,279.292,152.947,51.337,209.219,125.290,35.000,437.109,115.720,73.230,322.887,208.718,65.248,385.600,301.648,52.459,383.763,317.252,34.395,394.637,436.873,74.510,312.365,202.730,57.103,309.508,179.911,56.500,285.667,393.738,47.640,348.945,325.456,71.615,343.152,344.721,35.361,253.960,475.409,33.748,405.640,411.522,51.754,346.217,333.591,51.363,301.393,320.579,50.664,282.518,329.505,38.942,248.660,407.254
3,76.257,223.913,107.618,51.990,174.879,152.152,52.221,152.422,159.009,51.556,123.325,165.704,101.686,254.925,298.527,81.068,275.569,281.818,66.372,309.715,165.804,55.080,221.906,376.897,52.576,247.483,368.725,59.892,288.864,341.854,117.435,343.312,366.682,73.365,343.304,308.295,52.266,372.302,333.596,47.554,358.634,189.438,81.209,362.376,258.404,294.765,393.950,253.567,64.103,211.217,193.824,44.893,259.516,136.558,63.000,149.200,193.900,48.385,136.457,225.125,44.426,307.399,121.226,43.271,320.591,132.514,35.006,363.179,129.882,41.113,373.470,112.148,35.130,428.771,148.528,50.115,461.675,250.276,82.934,385.384,284.479,118.964,364.358,284.972,44.915,309.988,435.700,36.960,297.527,399.535,44.836,312.302,380.675,74.102,253.670,247.105,102.747,274.826,238.504,164.723,309.649,246.669,45.011,279.190,153.151,44.898,209.560,125.044,34.588,436.594,116.012,79.291,323.052,207.895,59.639,385.601,301.998,50.398,384.438,317.262,38.935,394.690,437.225,73.529,312.183,203.048,64.010,310.208,179.432,42.327,285.390,393.835,52.029,348.988,325.478,65.510,343.011,344.656,34.373,253.674,475.062,44.200,405.580,410.947,67.524,346.593,333.506,57.774,301.955,320.930,50.630,282.554,328.977,55.328,249.058,407.514
4,77.114,224.132,107.791,47.760,174.538,152.145,42.059,152.854,159.343,45.331,123.156,165.509,96.691,255.053,298.473,77.034,275.868,282.040,60.197,309.800,165.606,57.352,222.343,376.919,57.364,247.740,368.492,65.045,289.360,342.309,111.470,343.545,367.736,109.287,343.627,308.017,50.797,372.453,333.898,47.186,358.085,189.598,82.570,362.967,258.174,288.536,393.883,253.790,59.904,211.673,193.877,42.799,259.782,136.401,57.162,148.776,193.937,53.606,135.852,224.558,36.684,306.827,121.076,48.907,320.797,132.509,36.795,363.431,130.109,38.948,373.615,112.532,39.070,428.370,148.506,49.019,461.730,250.380,84.616,385.052,283.907,102.635,364.317,284.943,50.530,309.587,435.948,49.266,298.491,399.720,48.267,312.493,380.427,71.765,254.031,246.885,112.578,274.951,238.324,189.328,309.768,246.748,50.484,279.159,153.040,52.355,209.301,124.779,39.696,436.771,116.293,79.257,322.883,208.462,70.269,385.170,302.129,46.910,384.285,317.192,39.556,394.959,436.800,72.827,311.886,202.673,66.959,309.421,179.747,60.115,285.266,394.283,55.235,348.805,325.334,67.938,342.871,344.247,34.928,254.304,475.644,45.835,405.592,411.165,63.151,345.935,333.475,47.836,301.522,321.420,59.356,282.185,328.691,51.022,248.545,407.106
5,58.957,223.940,107.724,47.067,174.335,151.785,53.324,152.837,159.258,49.177,123.343,165.792,97.068,255.421,298.766,76.767,275.743,282.326,51.577,309.290,165.934,59.665,221.547,377.005,55.285,248.034,368.278,69.597,289.229,341.830,103.391,343.504,367.259,81.035,343.674,308.067,57.904,372.367,333.978,49.898,358.502,189.621,85.442,362.726,258.054,287.271,393.904,253.962,65.316,211.124,193.706,50.341,260.258,136.631,53.235,148.781,193.324,49.990,136.316,225.012,52.272,306.984,121.662,45.793,320.633,132.741,42.949,363.052,130.351,35.861,373.469,112.687,38.113,428.185,148.692,51.077,461.901,250.370,70.563,385.199,284.200,123.226,364.730,285.249,51.317,310.134,435.167,45.726,297.772,399.850,55.205,312.293,380.074,77.470,253.685,247.026,113.771,274.943,238.800,163.017,309.779,246.801,50.942,278.789,152.780,45.482,209.785,124.940,37.757,436.580,115.884,67.500,323.000,208.125,64.147,385.622,301.500,61.233,384.056,317.137,39.452,394.288,437.284,72.827,311.952,203.503,70.856,308.790,179.525,60.029,285.660,393.920,59.713,349.096,324.540,65.078,342.735,344.642,40.699,254.384,475.390,47.417,405.466,411.085,61.357,346.376,333.718,58.959,301.467,320.692,62.219,282.454,329.741,53.161,248.382,407.085
6,67.057,223.860,107.876,56.308,173.969,152.304,53.735,152.693,159.077,47.935,123.015,165.877,103.401,255.211,298.288,66.644,275.174,282.528,61.993,309.524,166.033,53.131,222.661,376.803,58.457,247.581,368.228,58.830,289.495,342.595,122.157,343.435,367.319,94.391,343.679,308.267,50.220,371.985,333.733,50.497,359.009,189.935,66.128,362.352,258.557,287.560,394.136,253.786,57.140,210.869,194.181,49.280,260.297,136.931,56.213,149.050,194.085,50.913,136.150,225.032,42.456,307.537,121.189,53.721,320.683,132.351,33.615,363.031,130.363,36.061,373.342,112.259,36.913,428.403,148.692,43.240,462.023,250.266,96.682,385.200,284.350,114.175,364.021,284.746,44.909,310.358,435.446,49.105,298.037,399.186,49.658,312.006,380.085,68.645,253.422,247.242,115.139,275.006,238.249,188.932,309.683,246.722,42.095,279.243,152.781,43.422,209.695,125.001,31.885,436.855,115.993,94.068,323.171,208.503,66.109,385.401,301.984,46.474,384.598,317.556,39.097,394.706,437.020,76.942,312.337,202.693,71.268,309.142,179.648,51.327,285.524,393.634,62.169,348.999,325.904,67.797,342.912,344.156,38.422,253.971,475.096,37.017,405.469,411.427,75.198,346.752,333.412,52.493,301.608,321.387,50.911,282.677,328.630,45.328,248.590,407.098
7,82.014,224.190,108.140,54.462,174.374,152.174,52.875,152.761,159.465,46.234,122.952,165.406,116.686,255.065,298.595,63.795,274.896,282.174,60.620,309.493,165.672,64.875,221.807,376.671,66.801,247.858,368.527,65.472,289.197,342.154,107.696,343.395,367.210,81.200,343.273,308.118,52.266,372.459,334.039,51.328,358.254,189.816,69.837,362.828,257.558,274.458,394.119,253.776,60.559,211.299,193.191,46.458,259.837,136.731,59.632,149.430,193.683,54.279,136.700,224.745,42.772,307.390,121.092,49.214,320.640,131.709,40.564,362.420,130.404,36.826,373.821,112.330,37.800,428.106,148.491,55.683,461.906,250.260,81.675,385.035,283.779,121.898,364.409,285.115,45.841,310.228,435.887,47.323,298.346,399.502,53.973,311.846,380.846,64.958,253.579,246.923,112.416,275.114,238.031,167.045,309.868,247.088,50.979,279.190,152.587,50.301,209.836,125.144,33.669,437.061,116.043,69.959,322.982,208.610,73.189,385.626,301.608,51.699,384.526,317.225,39.419,394.673,436.948,70.173,312.257,202.865,65.691,309.048,180.154,46.971,285.564,394.053,63.088,348.773,325.306,70.620,342.529,344.350,41.434,254.010,475.701,42.730,405.362,411.171,72.119,346.253,333.292,64.411,301.652,320.743,57.473,282.294,329.089,58.255,248.573,407.760
8,75.400,224.152,108.132,52.779,174.330,152.060,53.154,152.390,159.338,47.145,122.909,165.678,94.802,255.337,298.903,73.986,275.531,282.480,63.197,309.357,165.801,54.778,222.024,377.461,61.887,247.893,368.744,57.318,289.131,342.249,98.748,343.898,366.995,89.696,343.406,308.430,58.062,372.258,334.263,50.684,358.203,189.964,76.651,362.954,258.020,270.108,393.915,253.679,57.243,211.060,194.363,52.154,260.576,136.713,46.206,148.829,193.915,51.212,136.614,225.228,41.375,307.277,121.263,45.521,320.818,132.409,40.577,362.666,129.865,39.322,373.657,112.329,42.043,428.298,148.216,50.058,461.927,250.088,79.503,384.888,284.422,119.723,364.459,284.682,46.189,310.301,434.934,49.637,297.692,399.450,55.747,311.692,380.632,67.416,253.489,247.039,120.416,274.776,238.310,150.797,309.764,246.394,50.663,279.719,153.322,46.000,209.754,125.180,33.845,437.253,116.083,97.081,322.602,209.411,63.172,385.210,301.472,55.947,384.365,317.498,34.218,394.615,437.235,70.596,312.409,202.676,80.711,309.342,179.873,47.067,285.231,394.112,63.176,349.152,324.882,65.583,342.812,345.004,39.572,254.511,475.510,35.113,405.675,411.268,56.516,346.258,333.538,56.329,301.226,320.995,60.637,282.393,329.067,61.599,249.216,407.241
9,64.471,223.818,107.770,53.250,174.394,152.018,43.515,152.591,159.123,47.048,123.080,165.411,114.256,254.999,298.623,77.370,275.342,282.682,59.234,309.264,166.321,50.284,222.593,377.287,61.371,247.784,368.638,70.278,289.280,341.947,113.426,343.396,367.485,81.557,343.111,307.698,60.232,372.126,334.076,51.458,358.401,189.682,82.023,362.041,257.893,280.687,393.781,254.114,59.287,211.159,193.215,47.341,259.669,136.544,50.750,148.725,193.724,52.663,136.108,224.715,48.412,306.720,121.337,48.336,320.763,132.493,43.705,363.289,130.232,38.209,373.422,112.302,40.426,428.469,148.480,46.154,461.406,250.579,86.662,385.478,284.734,110.423,364.639,285.340,43.616,309.641,435.140,47.702,297.798,399.370,47.644,312.307,380.196,88.042,253.334,246.583,108.910,274.831,238.389,179.356,309.645,246.618,44.742,279.108,152.548,45.675,209.635,124.776,35.419,436.863,116.090,76.095,322.863,208.284,64.235,385.214,301.941,49.564,384.484,317.659,31.242,394.466,437.065,81.587,312.039,202.745,73.691,309.443,179.208,51.990,285.753,394.104,64.493,349.043,325.590,72.938,342.860,344.291,37.964,253.820,475.305,46.661,405.566,411.529,75.429,346.122,333.461,57.966,301.789,321.225,59.247,282.076,328.734,47.314,248.498,407.175
10,57.700,223.950,108.229,47.692,174.155,151.996,50.169,152.827,158.800,37.331,123.076,165.755,84.072,255.091,299.213,72.219,274.830,282.606,81.022,309.366,166.287,62.960,222.519,377.226,55.060,247.959,368.745,57.915,289.168,342.746,93.070,343.600,367.331,86.983,343.534,308.273,50.932,372.042,333.619,53.333,359.003,189.732,88.581,362.191,257.615,226.657,394.094,254.730,58.360,211.381,193.654,46.477,259.600,136.592,54.368,149.043,193.712,53.260,136.433,225.053,43.618,307.108,121.355,36.900,321.111,132.443,36.686,362.834,129.788,35.948,373.414,112.565,39.096,428.536,148.584,48.510,461.507,250.340,76.556,385.314,284.496,112.482,363.937,285.696,46.366,310.013,435.653,50.669,297.900,399.337,51.993,312.082,380.249,78.253,254.151,247.132,109.410,275.028,238.604,185.751,310.009,247.179,63.484,278.808,152.572,53.928,209.148,125.466,33.676,437.143,115.873,74.912,322.745,208.198,66.529,385.389,301.982,62.820,384.840,317.277,38.653,394.405,436.666,75.442,312.214,202.941,69.299,309.192,180.027,43.904,285.768,393.459,54.191,349.305,325.260,70.542,343.175,344.380,38.102,254.207,475.541,44.296,405.598,411.515,56.524,346.033,333.474,72.630,301.217,321.357,55.377,282.441,328.636,53.701,248.469,407.917
