 ,Mean1,XM1,YM1
1,-3503.086,223.500,106.999
2,-3503.743,223.500,106.999
3,-3502.428,223.500,107.000
4,-3504.114,223.501,107.000
5,-3505.800,223.500,107.000
6,-3507.014,223.500,107.000
7,-3506.714,223.500,106.999
8,-3505.157,223.500,106.999
9,-3505.614,223.501,107.000
10,-3503.914,223.499,107.000
11,-3506.329,223.500,107.000
12,-3507.086,223.500,107.000
13,-3505.857,223.500,107.000
14,-3505.157,223.499,106.999
15,-3506.186,223.501,107.000
16,-3505.043,223.500,107.001
17,-3505.371,223.500,107.001
18,-3508.157,223.500,107.000
19,-3506.400,223.500,106.999
20,-3505.114,223.499,106.999
21,-3504.786,223.501,107.000
22,-3504.200,223.500,107.000
23,-3505.757,223.500,107.001
24,-3506.271,223.499,107.000
25,-3505.829,223.501,106.999
26,-3505.386,223.499,107.000
27,-3505.529,223.499,107.001
28,-3506.900,223.501,107.001
29,-3507.543,223.501,107.000
30,-3507.329,223.500,106.999
31,-3506.800,223.501,107.000
32,-3505.786,223.500,107.000
33,-3504.500,223.500,107.001
34,-3505.486,223.500,107.000
35,-3506.529,223.499,106.999
36,-3508.014,223.500,107.000
37,-3505.643,223.500,106.999
38,-3505.171,223.502,107.000
39,-3504.243,223.500,107.000
40,-3505.843,223.500,107.001
41,-3505.443,223.499,107.001
42,-3506.014,223.501,107.000
43,-3506.386,223.500,106.999
44,-3503.714,223.499,106.999
45,-3505.086,223.500,106.999
46,-3505.786,223.499,107.001
47,-3507.400,223.501,107.000
48,-3507.000,223.500,107.000
49,-3506.229,223.500,106.999
50,-3505.614,223.500,106.999
51,-3504.971,223.499,107.001
52,-3505.428,223.500,107.001
53,-3504.900,223.499,107.001
54,-3506.900,223.500,106.999
55,-3506.057,223.501,106.999
56,-3506.600,223.500,107.000
57,-3505.386,223.501,107.001
58,-3505.900,223.498,106.998
59,-3506.186,223.499,107.001
60,-3506.886,223.500,106.999
61,-3505.671,223.500,107.000
62,-3505.643,223.501,106.999
63,-3504.428,223.499,107.000
64,-3506.086,223.500,107.001
65,-3507.671,223.499,107.000
66,-3508.386,223.501,107.000
67,-3505.357,223.500,106.999
68,-3503.514,223.500,107.001
69,-3504.757,223.499,107.001
70,-3504.771,223.500,107.002
71,-3507.600,223.500,107.000
72,-3506.514,223.500,106.999
73,-3505.614,223.501,106.999
74,-3504.043,223.501,106.999
75,-3505.186,223.501,107.000
76,-3506.643,223.501,107.000
77,-3506.314,223.498,107.001
78,-3507.928,223.500,106.999
79,-3505.814,223.500,106.999
80,-3506.914,223.499,107.000
81,-3504.871,223.499,107.000
82,-3504.629,223.500,107.001
83,-3506.357,223.501,107.000
84,-351.629,223.505,106.950
85,49.557,223.477,107.015
86,35.157,223.478,106.953
87,32.986,223.387,107.026
88,33.100,223.536,106.995
89,33.414,223.441,106.919
90,33.929,223.545,107.004
91,33.386,223.535,107.203
92,33.214,223.437,106.968
93,33.357,223.458,106.963
94,30.929,223.510,107.055
95,32.714,223.479,107.015
96,32.414,223.539,106.979
97,34.843,223.420,106.997
98,32.900,223.500,107.120
99,33.429,223.436,106.950
100,33.057,223.682,107.065
101,32.786,223.483,107.011
102,32.657,223.469,107.070
103,33.900,223.527,106.981
104,33.943,223.463,106.970
105,33.429,223.506,106.999
106,33.086,223.611,106.930
107,34.986,223.472,106.991
108,32.343,223.459,107.096
109,34.157,223.550,106.867
110,33.629,223.517,107.056
111,33.314,223.583,106.996
112,34.214,223.545,107.001
113,32.629,223.556,107.047
114,33.300,223.503,106.967
115,35.500,223.621,107.007
116,33.471,223.431,106.971
117,35.214,223.555,107.034
118,33.586,223.484,106.985
119,34.086,223.503,106.947
120,33.943,223.557,106.949
121,33.186,223.339,107.033
122,35.257,223.496,107.089
123,34.157,223.486,106.914
124,34.757,223.488,106.972
125,33.043,223.532,106.958
126,34.943,223.590,106.935
127,34.671,223.590,106.945
128,33.514,223.582,106.896
129,32.543,223.478,106.964
130,33.014,223.484,107.092
131,34.086,223.449,107.050
132,32.871,223.537,107.031
133,33.900,223.390,107.003
134,33.343,223.597,106.921
135,34.000,223.455,107.023
136,35.300,223.435,106.995
137,33.671,223.411,107.088
138,34.871,223.455,106.985
139,34.714,223.437,106.909
140,33.371,223.640,107.097
141,32.714,223.449,107.069
142,34.786,223.458,106.919
143,33.900,223.669,106.957
144,32.743,223.477,107.048
145,33.400,223.528,106.972
146,32.429,223.455,107.016
147,33.857,223.343,107.096
148,34.443,223.517,106.997
149,33.386,223.581,107.015
150,34.429,223.486,106.999
151,34.986,223.527,106.906
152,34.757,223.469,106.952
153,34.086,223.549,106.933
154,34.343,223.543,106.972
155,34.286,223.492,107.070
156,31.614,223.628,106.973
157,33.486,223.528,106.998
158,33.943,223.444,107.054
159,34.157,223.566,106.924
160,33.014,223.451,106.992
161,34.886,223.413,106.962
162,33.414,223.542,106.957
163,32.843,223.452,107.050
164,33.343,223.492,106.938
165,33.029,223.476,107.084
166,33.629,223.472,106.984
167,35.671,223.443,107.076
168,33.700,223.557,107.064
169,35.229,223.526,106.895
170,33.000,223.529,107.008
171,33.014,223.522,106.937
172,32.986,223.443,106.965
173,32.743,223.500,107.025
174,34.271,223.581,107.052
175,33.171,223.467,107.078
176,34.800,223.565,107.092
177,33.271,223.548,107.121
178,33.700,223.464,106.982
179,33.943,223.435,106.963
180,32.814,223.471,106.998
181,34.129,223.526,106.950
182,33.929,223.562,106.940
183,33.743,223.582,106.955
184,33.043,223.474,106.930
185,33.229,223.489,107.114
186,34.843,223.466,107.013
187,33.543,223.425,107.027
188,32.257,223.479,107.076
189,34.486,223.506,106.906
190,33.729,223.481,107.031
191,34.157,223.700,107.077
192,33.343,223.428,106.988
