 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,34.643,223.583,106.956,49.500,174.590,151.821,62.199,152.867,158.679,52.565,123.051,165.050,54.420,253.900,296.955,61.322,274.953,282.136,51.241,309.475,165.729,55.693,222.231,376.615,47.974,247.727,368.488,60.466,288.976,342.138,61.635,343.711,365.977,68.113,343.395,307.372,55.514,372.665,333.365,64.435,357.905,189.965,79.651,362.279,258.257,96.542,394.947,253.663,67.676,210.403,194.003,49.893,260.093,136.613,61.978,149.061,193.858,56.144,136.174,224.199,42.838,306.968,120.773,43.107,320.821,132.617,37.731,363.226,130.148,33.217,373.332,112.412,36.513,428.390,148.618,69.490,462.286,250.195,72.530,385.501,284.728,72.920,365.051,285.985,43.677,309.416,436.154,46.758,297.984,399.595,51.281,311.598,380.101,74.175,253.594,246.846,76.608,273.990,238.690,80.825,309.770,247.263,46.747,279.140,152.808,39.169,209.551,124.950,39.088,437.106,116.262,103.595,322.624,208.018,72.294,385.750,302.283,58.489,384.753,317.665,40.556,394.731,437.007,89.202,311.250,202.470,82.258,309.157,179.563,50.779,285.665,393.918,58.875,348.945,325.017,49.479,343.483,344.328,36.723,254.031,475.335,39.122,405.528,411.696,47.968,345.938,333.731,58.377,301.701,321.283,59.904,282.490,329.229,43.949,248.199,407.482
2,36.543,223.454,107.384,49.029,173.956,152.122,46.338,153.230,158.843,42.911,122.841,165.298,54.406,254.226,298.123,57.479,275.449,281.798,60.358,308.876,165.651,53.153,222.342,377.198,58.927,247.574,368.189,52.773,288.448,342.339,46.600,343.344,366.090,66.391,343.523,307.408,55.220,372.349,333.600,50.379,357.961,189.355,81.849,362.219,258.095,71.699,394.197,253.495,71.213,210.793,193.802,45.762,259.695,136.372,45.147,149.013,193.953,44.413,136.577,225.011,38.963,306.970,121.130,43.664,320.899,132.959,41.615,363.074,130.525,37.426,374.011,112.291,30.748,428.476,148.703,39.346,462.091,250.339,59.185,385.486,284.505,74.599,364.263,285.231,40.994,310.380,435.695,44.048,298.324,398.604,43.781,312.060,380.053,73.789,253.684,247.153,87.102,274.522,238.145,81.175,309.419,246.986,47.242,279.249,152.695,50.518,209.315,125.337,32.622,436.836,116.036,94.081,323.281,208.499,67.689,385.097,301.955,43.211,384.397,316.997,31.468,394.631,436.948,73.019,311.544,202.414,72.753,309.505,179.329,57.019,285.482,393.946,59.574,349.288,324.600,61.740,342.833,344.274,34.373,253.586,475.216,39.904,405.624,411.904,54.413,346.054,333.754,51.753,301.056,321.221,54.452,282.746,329.384,39.956,248.553,407.285
3,39.229,223.431,106.966,49.019,174.607,152.256,50.794,152.250,159.333,35.597,123.066,165.731,62.966,254.297,298.316,67.308,275.491,281.489,110.423,309.198,166.596,50.148,221.863,376.608,76.397,247.174,368.763,64.330,289.130,342.089,65.678,343.350,366.405,82.087,343.436,307.828,60.249,372.283,333.758,58.339,358.312,189.356,74.605,362.272,258.372,98.699,394.163,253.382,64.191,211.378,193.864,38.762,259.728,136.435,35.934,149.171,194.108,50.413,136.645,224.927,38.544,307.152,121.355,41.929,321.060,132.576,40.526,363.224,129.669,33.974,373.442,112.392,33.348,428.464,148.381,38.606,461.967,250.252,66.272,385.641,284.475,72.496,364.399,285.552,49.061,309.940,435.333,43.266,298.049,399.472,46.226,312.022,379.832,59.193,253.417,247.047,76.235,274.869,238.618,111.627,309.721,246.364,46.321,278.812,152.880,58.904,208.955,124.860,33.919,437.059,116.048,88.709,322.778,208.357,72.197,385.376,301.730,45.895,384.173,317.433,35.669,394.313,436.868,70.125,311.885,202.538,85.072,309.567,179.743,65.519,285.836,393.585,60.162,348.899,325.195,55.469,342.446,344.237,39.771,253.611,475.594,36.374,405.467,411.307,62.048,346.199,333.458,58.623,301.537,321.573,56.651,282.644,328.981,47.234,248.453,407.051
4,34.900,223.489,106.892,46.798,174.468,152.616,51.794,152.869,158.789,47.161,122.793,165.574,61.870,255.058,297.721,60.288,275.796,281.592,115.358,308.996,166.874,52.989,222.046,377.400,85.556,247.864,369.113,51.807,289.499,341.750,61.322,343.019,366.041,69.261,342.589,307.667,54.446,372.350,334.115,55.164,358.496,189.242,87.140,362.540,257.863,97.446,394.536,253.597,58.250,211.486,194.039,45.533,259.450,136.938,46.926,148.819,194.189,56.183,136.805,224.904,38.757,307.000,121.301,44.214,321.184,132.567,38.276,362.812,130.351,39.096,373.433,112.218,36.009,428.010,148.680,37.500,461.824,250.181,54.126,385.674,284.574,90.467,363.955,284.651,42.238,310.341,435.424,44.677,298.235,399.117,44.473,311.661,380.113,68.723,253.285,247.130,87.506,274.550,238.409,92.734,309.332,246.400,47.116,278.646,152.610,41.789,209.881,125.028,33.736,436.767,116.371,85.953,323.150,208.586,73.277,385.768,302.026,52.120,384.058,317.424,38.097,394.590,436.750,73.481,311.448,202.854,65.093,309.836,179.570,48.144,285.389,393.768,47.441,348.923,325.225,71.792,342.707,343.982,34.145,254.111,475.181,37.617,405.433,411.240,60.183,345.981,333.704,55.884,301.533,321.467,46.274,282.342,329.421,48.161,248.135,406.927
5,36.857,223.740,107.034,53.038,174.589,152.533,53.353,152.970,159.377,44.944,122.724,165.275,59.662,253.965,297.183,65.986,275.589,281.972,120.423,308.961,166.768,50.131,222.178,377.755,84.046,247.991,369.360,58.841,288.557,342.167,57.983,343.717,365.595,97.965,343.545,308.210,48.215,372.273,333.842,60.932,358.495,189.819,74.360,361.794,257.812,118.187,394.085,253.640,66.044,211.102,193.641,40.444,259.689,136.566,44.309,148.824,194.210,44.798,136.417,225.011,37.169,307.158,121.004,46.836,320.651,132.613,36.006,362.933,130.004,38.217,373.550,112.362,38.365,428.338,148.598,40.731,461.685,250.254,55.219,385.498,284.695,86.686,364.345,285.139,44.537,309.728,435.329,45.968,297.826,399.422,41.863,312.196,380.773,59.120,253.859,246.971,84.843,274.585,238.576,101.390,310.061,246.298,49.168,278.826,152.249,40.012,209.497,125.140,33.453,436.895,116.013,88.547,323.052,208.839,77.903,385.371,301.937,51.827,384.735,317.138,35.266,394.713,437.117,73.635,311.529,202.954,76.320,309.769,180.148,45.529,285.661,393.856,57.993,348.967,325.610,54.688,342.871,344.737,33.211,254.085,475.162,37.400,405.569,411.663,65.556,346.061,333.616,53.644,301.882,320.522,56.959,282.400,328.910,51.131,248.373,407.592
6,38.514,223.446,107.290,53.769,174.323,152.112,43.912,152.481,159.050,43.952,123.269,165.434,66.411,254.575,297.546,65.856,275.475,282.366,138.285,309.087,167.143,56.193,222.017,377.245,96.199,247.859,369.437,59.801,289.001,342.085,65.330,343.307,365.676,77.643,343.274,307.578,56.424,372.389,333.493,58.073,358.382,189.265,76.105,362.096,257.900,106.627,394.532,253.102,62.478,210.669,193.828,45.388,260.293,136.638,40.022,149.063,193.896,48.644,136.542,225.035,36.890,307.007,121.071,43.857,320.968,132.555,37.551,363.183,130.592,32.504,373.612,112.224,37.548,428.480,148.315,49.942,461.818,250.113,58.702,385.415,283.951,82.314,364.213,285.232,49.238,310.688,435.738,44.524,297.691,399.338,49.048,311.134,380.453,62.392,253.352,246.335,79.157,274.274,238.829,114.621,310.057,246.890,53.258,278.736,152.889,44.777,209.500,125.275,33.405,436.646,115.798,99.689,322.733,208.695,86.214,385.443,302.247,53.241,384.978,317.295,33.427,394.469,436.970,84.356,311.845,203.098,86.588,310.196,179.456,58.096,285.534,393.928,62.574,349.159,324.888,65.953,342.659,344.279,38.928,253.665,475.480,32.670,405.274,411.419,54.944,345.806,333.249,58.479,301.744,320.851,46.390,282.698,328.964,43.934,248.312,407.494
7,36.786,223.726,106.865,50.250,174.831,151.671,49.404,152.843,159.135,36.806,122.936,165.618,64.440,254.878,297.602,68.466,275.662,281.991,122.204,308.920,166.549,53.824,222.054,376.819,71.993,247.367,368.794,55.085,289.108,341.656,66.826,343.550,366.153,75.670,343.547,307.866,60.944,371.943,333.742,52.531,358.868,189.723,82.081,362.565,258.587,97.482,394.533,253.298,56.846,211.730,194.238,43.668,260.106,137.021,45.816,149.305,193.576,47.221,136.399,225.187,38.860,306.751,121.047,46.907,320.944,132.715,42.301,363.295,130.214,36.504,373.139,112.708,32.243,428.886,148.048,39.481,461.957,250.266,56.748,385.258,284.416,73.102,364.297,284.893,47.634,310.052,434.992,38.298,297.908,398.991,43.116,311.771,380.855,65.295,253.376,246.793,87.452,274.620,238.713,103.746,309.797,246.414,49.816,279.054,152.403,48.741,209.385,125.377,35.291,436.758,115.912,104.426,322.702,208.393,87.992,385.132,301.592,54.624,384.685,316.849,37.468,394.317,436.509,76.000,312.216,202.802,91.155,309.520,179.115,49.462,285.611,393.674,62.213,349.357,325.092,63.177,343.449,344.337,34.169,254.028,475.292,36.209,405.173,411.390,53.024,346.350,333.630,57.178,301.289,321.835,55.199,282.796,329.122,50.234,248.615,407.385
8,43.414,223.592,107.529,52.519,174.429,152.336,45.272,152.663,159.042,40.605,122.926,165.373,68.058,254.999,297.519,75.260,275.791,282.131,134.015,309.017,166.403,53.506,221.839,376.780,91.490,247.635,369.269,54.449,288.840,341.922,68.791,343.532,365.974,83.730,343.229,307.798,53.418,372.601,333.828,58.876,358.953,190.183,68.651,362.247,258.322,96.163,394.469,253.482,59.015,211.238,193.766,42.963,260.000,136.174,45.728,148.684,193.807,45.971,136.766,224.879,36.588,307.048,121.083,39.164,320.936,132.384,40.263,362.944,129.887,38.374,373.223,112.797,33.583,428.331,148.345,44.558,461.721,249.816,59.947,385.302,284.358,81.438,363.985,285.318,43.305,309.544,435.422,44.871,298.265,399.707,45.658,312.066,380.566,71.867,253.569,247.354,72.855,274.617,239.036,113.514,309.527,246.314,49.226,279.354,152.910,40.199,209.344,125.076,34.176,436.980,115.885,101.824,322.768,208.064,79.202,385.363,301.788,49.669,384.136,317.275,37.927,394.368,436.429,75.394,312.107,203.622,76.340,309.492,179.582,51.433,285.063,393.744,51.897,348.750,325.003,71.224,343.091,344.624,36.030,253.881,475.484,31.887,405.506,411.587,66.087,345.547,333.960,53.425,301.159,320.990,62.178,282.854,328.925,49.920,248.301,406.927
9,44.257,224.056,107.055,50.663,174.388,152.355,60.301,152.946,159.197,44.782,123.053,164.924,53.314,254.383,298.341,70.486,275.704,281.817,137.803,309.132,167.015,54.892,221.999,377.227,81.298,247.862,369.490,71.415,288.780,341.900,57.539,343.171,366.220,80.948,343.320,307.766,51.994,372.236,333.571,63.266,358.148,189.324,70.593,362.088,257.884,113.175,394.351,253.048,68.375,211.248,194.656,41.061,259.501,136.544,45.728,149.410,193.703,52.567,136.445,225.024,42.919,307.152,121.073,39.500,320.753,132.099,37.641,363.358,130.305,37.174,373.260,112.468,33.739,428.174,148.455,38.904,462.071,250.588,60.040,385.329,284.943,87.752,364.584,284.822,44.415,310.070,435.343,39.847,298.245,399.149,43.110,311.908,380.142,81.488,252.793,246.903,78.295,274.278,238.738,95.672,309.924,246.763,54.126,278.714,152.670,52.205,209.475,125.116,32.926,436.844,115.918,104.176,322.770,208.668,87.139,385.045,302.275,53.075,384.065,317.738,34.669,394.645,436.563,89.452,312.183,203.024,82.351,309.599,179.630,49.250,285.304,394.490,51.750,348.866,325.199,62.807,343.467,344.416,38.602,254.424,475.375,35.417,405.348,411.649,51.857,346.318,333.708,55.301,301.701,320.913,50.534,281.861,329.298,45.234,248.597,407.464
10,37.186,223.446,107.147,51.923,174.219,151.801,54.485,152.691,158.963,39.685,123.137,165.677,76.831,254.992,297.641,62.082,275.937,282.275,125.708,309.295,166.794,52.278,221.456,376.955,78.245,247.961,369.433,55.670,289.334,342.254,70.826,343.002,366.104,81.609,343.636,307.348,58.582,372.388,333.669,57.181,358.523,189.489,78.070,362.551,258.267,100.229,394.460,253.401,62.140,211.571,193.420,45.150,259.964,136.763,47.868,149.073,193.771,46.346,136.357,224.741,39.257,307.279,121.025,44.179,320.536,132.479,38.186,362.886,130.262,39.548,373.384,112.006,34.130,428.191,148.435,41.337,461.824,249.984,64.371,385.186,284.042,87.387,364.278,285.006,41.104,310.126,435.680,49.056,298.152,399.756,49.795,311.683,380.798,60.783,253.531,247.064,70.988,274.545,239.296,97.559,310.089,246.917,48.447,278.996,152.900,50.928,209.352,124.513,35.176,436.748,116.128,93.824,323.134,208.625,85.382,385.272,301.577,54.925,384.261,317.120,34.685,394.326,437.002,83.000,312.135,203.158,77.928,309.985,179.467,45.413,285.381,393.594,52.890,348.821,325.122,58.328,342.744,344.461,31.825,253.864,475.404,37.800,405.595,411.552,60.730,346.200,333.422,66.719,301.086,321.433,71.062,282.844,328.598,45.745,248.378,407.327
