 ,Mean1,XM1,YM1
1,-3502.643,223.500,106.998
2,-3505.043,223.500,107.000
3,-3504.271,223.498,107.000
4,-3504.143,223.500,106.999
5,-3504.914,223.501,107.001
6,-3506.700,223.501,107.000
7,-3505.200,223.501,106.998
8,-3504.286,223.500,107.000
9,-3504.243,223.501,106.999
10,-3504.171,223.500,107.000
11,-3506.500,223.500,107.001
12,-3504.743,223.500,107.001
13,-3504.971,223.499,107.000
14,-3503.986,223.500,107.000
15,-3503.271,223.499,106.999
16,-3503.428,223.501,106.999
17,-3506.114,223.499,107.001
18,-3506.043,223.500,106.999
19,-3507.014,223.500,106.999
20,-3505.414,223.500,106.999
21,-3504.700,223.500,107.000
22,-3504.943,223.499,107.001
23,-3507.143,223.500,107.001
24,-3508.814,223.502,107.000
25,-3504.871,223.500,106.999
26,-3505.428,223.500,107.000
27,-3504.129,223.500,107.001
28,-3505.486,223.500,107.001
29,-3507.200,223.501,107.001
30,-3506.714,223.500,107.000
31,-3504.800,223.500,106.999
32,-3504.086,223.499,107.000
33,-3504.043,223.499,107.000
34,-3505.729,223.499,107.001
35,-3507.000,223.500,107.001
36,-3506.614,223.501,107.002
37,-3507.014,223.499,106.999
38,-3504.543,223.500,107.000
39,-3503.871,223.501,107.001
40,-3505.043,223.501,107.001
41,-3506.014,223.499,107.001
42,-3506.471,223.500,107.000
43,-3505.743,223.500,106.999
44,-3505.329,223.500,106.999
45,-3504.257,223.500,107.000
46,-3504.814,223.500,107.001
47,-3506.600,223.499,107.001
48,-3508.371,223.500,107.000
49,-3506.100,223.501,106.998
50,-3504.714,223.501,106.999
51,-3503.443,223.501,107.000
52,-3504.829,223.498,107.000
53,-3507.086,223.499,107.000
54,-3505.657,223.501,107.000
55,-3503.957,223.501,106.999
56,-3505.443,223.501,107.000
57,-3503.529,223.499,107.000
58,-3506.243,223.500,107.001
59,-3504.743,223.501,107.000
60,-3505.357,223.499,106.998
61,-3505.971,223.500,107.000
62,-3503.314,223.500,107.000
63,-3503.314,223.501,107.001
64,-3504.957,223.500,107.001
65,-3507.414,223.500,107.001
66,-3506.257,223.500,106.999
67,-3505.786,223.500,106.999
68,-3504.614,223.499,107.000
69,-3505.486,223.500,107.000
70,-3505.871,223.498,107.001
71,-3506.357,223.499,107.000
72,-3506.986,223.500,106.999
73,-3504.786,223.499,106.997
74,-3503.557,223.500,106.999
75,-3503.971,223.500,107.000
76,-3504.757,223.500,107.001
77,-3507.314,223.501,107.000
78,-3506.857,223.500,107.000
79,-3504.857,223.501,106.999
80,-3505.186,223.500,106.999
81,-3505.186,223.500,107.001
82,-3506.572,223.501,107.001
83,-3381.814,223.500,106.991
84,-23.186,223.490,106.512
85,47.214,223.582,107.014
86,32.429,223.388,106.920
87,34.757,223.530,106.974
88,33.871,223.495,107.010
89,34.243,223.433,107.009
90,34.314,223.435,106.970
91,33.014,223.542,106.936
92,34.429,223.468,107.011
93,33.071,223.385,106.958
94,32.971,223.454,106.992
95,34.314,223.527,107.005
96,31.657,223.495,107.004
97,32.529,223.526,107.028
98,32.557,223.577,106.983
99,34.700,223.503,107.065
100,33.814,223.515,106.949
101,32.357,223.387,106.980
102,33.986,223.526,106.941
103,35.043,223.641,106.980
104,33.429,223.523,106.979
105,33.471,223.543,107.030
106,34.829,223.409,107.030
107,35.829,223.565,106.928
108,33.486,223.452,106.948
109,34.300,223.607,106.900
110,33.529,223.563,106.960
111,34.086,223.443,106.953
