 ,Mean1,XM1,YM1
1,-3503.914,223.499,106.999
2,-3504.643,223.500,107.000
3,-3503.971,223.499,107.000
4,-3504.300,223.501,107.000
5,-3505.814,223.500,107.001
6,-3507.800,223.500,107.001
7,-3505.229,223.499,106.999
8,-3503.814,223.499,106.999
9,-3504.029,223.499,107.001
10,-3505.257,223.500,107.000
11,-3507.829,223.500,107.000
12,-3508.186,223.499,107.000
13,-3507.471,223.500,107.000
14,-3505.271,223.499,107.000
15,-3508.000,223.500,107.000
16,-3506.514,223.500,107.001
17,-3509.843,223.500,107.001
18,-3507.957,223.501,106.999
19,-3507.800,223.499,106.999
20,-3507.557,223.500,107.000
21,-3505.129,223.499,107.000
22,-3506.600,223.501,107.001
23,-3507.614,223.500,107.001
24,-3508.786,223.500,107.000
25,-3509.500,223.501,106.999
26,-3507.700,223.500,106.999
27,-3505.914,223.500,107.001
28,-3505.871,223.499,107.001
29,-3507.971,223.500,107.001
30,-3508.757,223.500,107.000
31,-3506.928,223.500,106.999
32,-3506.229,223.500,107.000
33,-3504.443,223.500,107.000
34,-3505.629,223.499,107.001
35,-3507.543,223.501,107.000
36,-3507.543,223.500,107.000
37,-3507.257,223.499,106.999
38,-3505.729,223.500,106.999
39,-3505.857,223.501,106.999
40,-3505.157,223.500,107.001
41,-3506.471,223.500,107.001
42,-3506.957,223.501,107.000
43,-3508.629,223.499,107.000
44,-3506.514,223.500,106.999
45,-3506.200,223.500,107.001
46,-3506.500,223.500,107.000
47,-3507.271,223.500,107.000
48,-3507.771,223.500,107.000
49,-3508.400,223.500,106.999
50,-3507.171,223.501,107.000
51,-3505.186,223.499,107.000
52,-3504.143,223.500,107.001
53,-3507.186,223.500,107.000
54,-3507.914,223.500,107.001
55,-3508.800,223.501,106.999
56,-3507.014,223.499,107.000
57,-3506.757,223.500,107.002
58,-3507.271,223.501,107.000
59,-3508.129,223.500,107.000
60,-3508.786,223.499,107.001
61,-3507.629,223.500,106.999
62,-3505.857,223.500,106.999
63,-3506.743,223.500,107.000
64,-3507.629,223.501,107.001
65,-3506.786,223.500,107.001
66,-3508.500,223.501,106.999
67,-3508.757,223.500,107.000
68,-3506.657,223.500,107.001
69,-3508.600,223.499,107.000
70,-3505.500,223.500,107.001
71,-3508.543,223.500,107.001
72,-3508.029,223.498,107.000
73,-3507.829,223.499,106.999
74,-3508.143,223.500,106.999
75,-3507.300,223.500,107.001
76,-3506.657,223.501,107.001
77,-3507.214,223.500,107.000
78,-3508.072,223.500,107.000
79,-3507.614,223.500,107.000
80,-3505.543,223.499,107.000
81,-3506.729,223.500,106.999
82,-3506.700,223.501,107.001
83,-3508.171,223.500,106.999
84,-161.686,223.482,106.875
85,45.843,223.392,107.029
86,31.914,223.359,107.002
87,29.543,223.471,107.033
88,30.671,223.554,106.836
89,31.700,223.467,106.948
90,30.029,223.471,106.939
91,32.043,223.590,106.965
92,30.100,223.507,106.989
93,30.986,223.445,106.899
94,31.514,223.466,107.113
95,33.357,223.476,106.948
96,31.329,223.407,106.983
97,32.229,223.508,106.906
98,32.029,223.456,107.008
99,31.829,223.407,107.048
100,31.014,223.465,106.843
101,30.843,223.569,106.998
102,30.929,223.510,107.021
103,30.829,223.581,106.856
104,32.829,223.497,107.004
105,32.257,223.351,106.921
106,31.771,223.489,107.111
107,31.829,223.586,107.075
108,32.557,223.450,106.914
109,31.314,223.556,106.958
110,31.871,223.408,107.087
111,32.671,223.544,107.031
112,31.957,223.597,106.997
113,31.886,223.503,106.912
