 ,Mean1,XM1,YM1
1,-3505.928,223.500,107.000
2,-3506.286,223.499,106.999
3,-3503.614,223.500,107.000
4,-3505.743,223.500,107.000
5,-3506.171,223.500,107.001
6,-3507.471,223.500,107.001
7,-3505.086,223.500,106.999
8,-3506.843,223.500,106.999
9,-3506.928,223.500,107.001
10,-3505.843,223.501,107.000
11,-3507.171,223.500,107.000
12,-3507.486,223.499,107.001
13,-3509.500,223.499,106.998
14,-3505.986,223.501,106.999
15,-3507.243,223.501,107.000
16,-3506.072,223.500,107.000
17,-3508.443,223.500,107.001
18,-3508.271,223.500,107.001
19,-3507.643,223.500,107.000
20,-3506.900,223.500,107.000
21,-3507.729,223.500,107.001
22,-3506.471,223.500,107.001
23,-3508.243,223.500,107.001
24,-3508.186,223.501,107.000
25,-3506.829,223.500,107.000
26,-3506.300,223.500,107.000
27,-3505.986,223.500,107.001
28,-3506.657,223.500,107.001
29,-3509.371,223.501,107.001
30,-3508.271,223.500,107.001
31,-3507.857,223.500,106.999
32,-3507.657,223.501,107.000
33,-3506.671,223.500,106.999
34,-3506.072,223.501,107.001
35,-3508.357,223.500,107.000
36,-3508.229,223.500,107.000
37,-3507.529,223.501,106.999
38,-3506.371,223.500,106.999
39,-3506.843,223.500,107.000
40,-3507.871,223.500,107.000
41,-3507.700,223.500,107.000
42,-3509.600,223.499,106.999
43,-3508.428,223.500,107.000
44,-3507.629,223.500,106.999
45,-3505.843,223.499,107.000
46,-3506.928,223.500,107.001
47,-3508.300,223.500,107.001
48,-3507.671,223.500,107.000
49,-3510.543,223.500,107.000
50,-3506.671,223.501,107.000
51,-3506.729,223.500,107.001
52,-3505.600,223.500,106.999
53,-3507.829,223.499,107.001
54,-3507.943,223.500,107.000
55,-3509.200,223.500,106.999
56,-3507.586,223.500,107.000
57,-3507.100,223.499,106.999
58,-3508.057,223.501,107.000
59,-3508.814,223.500,107.000
60,-3509.986,223.500,107.000
61,-3508.586,223.501,107.000
62,-3506.086,223.500,107.000
63,-3506.871,223.500,107.000
64,-3507.229,223.500,107.001
65,-3508.329,223.500,107.001
66,-3509.343,223.501,106.999
67,-3507.100,223.500,106.999
68,-3508.171,223.500,107.000
69,-3505.786,223.498,107.001
70,-3507.457,223.500,107.001
71,-3506.914,223.500,107.001
72,-3509.400,223.500,107.000
73,-3507.229,223.500,106.999
74,-3507.343,223.500,107.000
75,-3506.143,223.500,107.001
76,-3508.200,223.501,107.000
77,-3509.857,223.500,107.000
78,-3509.286,223.500,106.999
79,-3508.286,223.500,106.999
80,-3505.657,223.501,107.000
81,-3505.300,223.500,107.000
82,-3507.100,223.500,107.001
83,-3509.371,223.500,107.000
84,-218.614,223.498,106.913
85,45.314,223.532,106.982
86,32.314,223.575,106.917
