 ,Mean1,XM1,YM1
1,-3506.157,223.500,107.000
2,-3506.400,223.499,106.999
3,-3504.900,223.501,107.000
4,-3503.314,223.499,106.999
5,-3504.200,223.500,107.000
6,-3506.786,223.500,107.000
7,-3507.129,223.499,107.002
8,-3507.000,223.501,107.001
9,-3506.800,223.500,107.001
10,-3507.000,223.500,106.999
11,-3504.928,223.501,107.000
12,-3504.471,223.500,107.001
13,-3505.257,223.500,107.002
14,-3505.857,223.501,107.000
15,-3506.386,223.499,107.001
16,-3508.043,223.500,106.999
17,-3505.586,223.500,107.000
18,-3506.629,223.500,106.999
19,-3505.629,223.500,107.000
20,-3504.629,223.499,107.001
21,-3506.114,223.499,107.001
22,-3507.114,223.500,107.000
23,-3507.757,223.502,107.001
24,-3507.057,223.500,106.999
25,-3506.814,223.501,107.000
26,-3505.014,223.500,106.999
27,-3505.186,223.502,107.001
28,-3506.629,223.499,107.000
29,-3507.629,223.499,107.000
30,-3506.514,223.499,106.999
31,-3505.629,223.499,107.000
32,-3504.957,223.499,107.000
33,-3505.371,223.502,107.001
34,-3507.000,223.500,107.001
35,-3506.757,223.500,107.001
36,-3507.829,223.499,107.001
37,-3506.743,223.500,106.999
38,-3504.671,223.500,106.998
39,-3505.686,223.499,107.000
40,-3504.800,223.499,107.001
41,-3508.286,223.500,107.000
42,-3507.871,223.499,107.000
43,-3508.814,223.500,107.000
44,-3506.357,223.501,107.000
45,-3505.428,223.502,107.000
46,-3505.500,223.500,106.999
47,-3504.771,223.499,107.001
48,-3506.500,223.500,107.002
49,-3506.943,223.499,107.000
50,-3509.671,223.500,107.001
51,-3506.257,223.501,106.999
52,-3506.729,223.499,107.000
53,-3505.686,223.500,107.001
54,-3506.371,223.500,107.000
55,-3507.643,223.499,107.000
56,-3507.343,223.500,107.000
57,-3506.986,223.499,106.998
58,-3505.000,223.500,106.999
59,-3504.486,223.500,107.000
60,-3503.971,223.500,106.999
61,-3506.186,223.500,107.001
62,-3507.600,223.500,107.001
63,-3507.657,223.500,106.999
64,-3507.143,223.500,106.999
65,-3505.786,223.501,106.999
66,-3505.557,223.500,106.999
67,-3504.729,223.501,107.000
68,-3506.814,223.500,107.000
69,-3507.643,223.500,107.001
70,-3507.971,223.501,107.001
71,-3508.843,223.500,106.999
72,-3506.171,223.501,106.999
73,-3506.271,223.499,107.000
74,-3506.771,223.501,106.999
75,-3505.914,223.499,107.001
76,-3507.986,223.500,107.000
77,-3508.114,223.499,107.000
78,-3506.671,223.500,106.998
79,-3506.614,223.500,107.000
80,-3506.243,223.501,107.000
81,-3505.600,223.501,107.001
82,-3506.714,223.501,107.001
83,-3508.214,223.500,107.000
84,-632.157,223.500,106.953
85,47.286,223.519,106.992
86,34.586,223.523,107.051
87,30.286,223.543,106.965
88,31.229,223.571,107.047
89,30.914,223.510,107.012
90,32.429,223.475,106.961
91,32.571,223.510,106.982
92,32.871,223.425,107.151
93,33.086,223.503,106.985
94,32.586,223.478,106.823
95,33.729,223.434,107.044
96,32.971,223.366,106.952
97,32.686,223.392,106.869
98,33.586,223.413,106.957
99,33.243,223.572,107.057
100,33.357,223.548,107.078
101,33.343,223.681,107.013
102,33.029,223.433,106.993
103,31.057,223.505,106.971
104,32.029,223.444,106.964
105,32.686,223.558,106.981
106,34.386,223.652,107.085
107,33.829,223.647,107.131
108,33.043,223.577,107.135
109,33.757,223.577,107.014
110,32.771,223.543,107.056
111,31.971,223.590,106.853
112,33.586,223.503,106.924
113,32.586,223.580,107.047
114,33.371,223.494,106.996
115,32.743,223.493,107.084
116,31.343,223.577,107.086
117,32.557,223.473,106.871
118,33.600,223.498,107.001
119,30.414,223.579,106.992
120,33.200,223.469,106.910
121,31.629,223.463,106.911
122,33.343,223.338,106.919
123,31.729,223.436,106.983
124,33.371,223.588,106.979
125,32.486,223.479,107.027
126,34.186,223.570,106.963
127,32.957,223.397,106.975
128,32.614,223.572,107.062
129,32.586,223.397,107.059
130,32.529,223.609,106.968
