 ,Mean1,XM1,YM1
1,-3504.829,223.499,107.001
2,-3505.871,223.500,107.001
3,-3507.086,223.501,107.000
4,-3503.914,223.500,107.000
5,-3503.200,223.500,107.000
6,-3503.814,223.499,107.001
7,-3506.043,223.499,107.001
8,-3506.686,223.501,107.000
9,-3505.914,223.500,107.000
10,-3505.329,223.501,106.999
11,-3504.243,223.500,106.999
12,-3502.771,223.499,107.000
13,-3503.400,223.500,107.000
14,-3506.314,223.501,107.000
15,-3505.729,223.500,107.000
16,-3506.557,223.500,106.999
17,-3503.686,223.500,106.999
18,-3504.557,223.499,107.000
19,-3504.657,223.501,107.001
20,-3508.157,223.501,106.999
21,-3506.271,223.500,107.000
22,-3505.714,223.500,106.999
23,-3505.086,223.500,107.000
24,-3504.586,223.501,107.000
25,-3505.572,223.500,107.001
26,-3507.771,223.500,107.002
27,-3505.300,223.500,106.999
28,-3505.643,223.500,107.000
29,-3505.257,223.500,107.001
30,-3504.700,223.499,107.000
31,-3505.643,223.500,107.001
32,-3507.671,223.500,107.001
33,-3507.914,223.500,107.000
34,-3505.486,223.500,106.999
35,-3504.957,223.500,107.000
36,-3505.514,223.500,107.000
37,-3507.171,223.500,107.000
38,-3508.072,223.500,107.000
39,-3508.371,223.501,107.000
40,-3505.014,223.500,106.999
41,-3506.243,223.500,107.000
42,-3505.086,223.501,107.001
43,-3507.686,223.499,107.000
44,-3507.271,223.499,107.001
45,-3506.857,223.501,107.000
46,-3506.657,223.501,107.000
47,-3505.443,223.500,106.999
48,-3504.457,223.500,107.000
49,-3507.428,223.502,107.000
50,-3506.286,223.500,107.000
51,-3507.386,223.500,107.000
52,-3506.543,223.499,106.999
53,-3504.971,223.500,107.000
54,-3506.143,223.500,107.000
55,-3505.843,223.500,107.001
56,-3507.072,223.499,107.001
57,-3507.171,223.500,107.000
58,-3505.300,223.499,106.999
59,-3506.243,223.500,106.999
60,-3503.928,223.500,107.000
61,-3506.229,223.501,107.001
62,-3508.629,223.500,107.000
63,-3506.886,223.499,106.999
64,-3506.171,223.499,106.998
65,-3505.271,223.500,107.001
66,-3504.900,223.501,106.999
67,-3506.200,223.500,107.001
68,-3507.986,223.500,107.001
69,-3508.271,223.500,106.999
70,-3506.771,223.500,107.000
71,-3506.457,223.501,107.000
72,-3505.157,223.501,106.999
73,-3506.943,223.499,107.001
74,-3506.357,223.499,107.001
75,-3507.200,223.500,107.000
76,-3506.686,223.501,107.000
77,-3505.029,223.499,107.000
78,-3506.072,223.501,107.001
79,-3505.743,223.500,107.000
80,-3507.200,223.499,107.001
81,-3508.514,223.501,107.000
82,-3504.900,223.499,107.000
83,-3505.814,223.500,107.000
84,-132.000,223.506,106.872
85,48.929,223.554,107.015
86,33.843,223.444,106.963
87,32.357,223.431,106.995
88,31.271,223.535,106.924
89,31.243,223.535,107.038
90,32.971,223.542,106.783
91,33.557,223.524,107.068
92,33.700,223.466,106.851
93,34.843,223.516,106.952
94,32.729,223.447,106.972
95,33.257,223.549,107.047
96,33.900,223.426,107.005
97,31.671,223.440,106.978
98,33.343,223.473,106.919
99,32.200,223.462,107.040
100,32.586,223.408,106.948
101,33.200,223.455,107.015
102,31.971,223.520,107.025
103,32.743,223.502,107.072
104,32.771,223.488,107.136
105,32.614,223.492,107.001
106,33.771,223.601,106.974
107,33.314,223.367,106.976
108,32.957,223.566,106.943
109,33.786,223.519,107.032
110,33.271,223.432,106.962
111,35.043,223.521,107.087
112,33.500,223.546,107.000
113,32.457,223.464,106.946
114,34.271,223.518,107.044
115,32.414,223.432,107.075
116,32.514,223.395,106.971
117,32.757,223.352,107.042
118,32.929,223.549,107.021
119,32.929,223.503,106.974
120,33.143,223.481,107.051
121,33.471,223.484,106.935
122,33.586,223.427,106.992
123,33.971,223.481,106.948
124,33.929,223.516,106.969
125,33.771,223.467,107.000
126,33.714,223.428,107.064
127,32.814,223.507,107.022
128,33.586,223.482,106.901
129,34.129,223.510,107.014
130,33.243,223.471,107.092
131,31.529,223.471,106.913
132,33.500,223.591,107.022
133,33.286,223.385,107.121
134,32.900,223.523,106.939
135,33.029,223.540,107.037
136,33.214,223.448,106.988
137,34.371,223.521,107.077
138,33.686,223.415,107.039
139,32.886,223.488,106.966
140,33.314,223.512,107.002
141,31.900,223.440,106.974
142,33.943,223.404,107.065
143,33.929,223.470,107.015
144,33.171,223.422,106.997
145,34.286,223.506,106.995
146,32.443,223.403,107.136
147,32.786,223.453,106.868
148,33.329,223.494,106.932
149,34.371,223.496,107.066
150,32.643,223.583,107.095
151,32.829,223.500,106.944
152,34.000,223.514,107.048
153,35.571,223.547,107.106
154,32.843,223.451,106.938
155,33.871,223.498,106.999
156,34.300,223.529,107.009
157,34.643,223.435,107.065
158,33.900,223.362,106.940
159,33.514,223.495,106.964
160,32.386,223.528,107.043
161,34.671,223.469,107.136
162,33.514,223.607,107.001
163,33.314,223.360,107.022
164,33.529,223.523,107.076
165,31.143,223.517,107.139
166,32.714,223.544,107.103
167,33.786,223.581,107.085
168,33.886,223.492,107.110
169,34.600,223.456,106.973
170,33.257,223.463,107.043
171,32.543,223.455,107.019
172,34.457,223.488,107.086
173,32.857,223.488,106.872
174,33.200,223.466,106.974
175,34.486,223.483,106.949
176,33.614,223.527,107.044
177,33.214,223.492,107.115
178,33.357,223.559,107.024
179,33.686,223.448,106.981
180,34.543,223.436,107.030
181,33.186,223.437,107.023
182,34.257,223.514,107.040
183,33.471,223.471,107.138
184,33.571,223.520,107.003
185,33.186,223.401,106.986
186,31.843,223.576,106.946
187,32.800,223.538,107.019
188,33.686,223.447,106.886
189,34.586,223.654,107.072
190,33.600,223.567,106.950
191,34.271,223.402,106.997
192,32.971,223.570,107.055
193,32.157,223.546,106.868
194,33.729,223.568,106.988
195,35.286,223.569,106.961
196,31.857,223.426,106.991
197,34.129,223.393,107.099
198,32.500,223.394,107.045
199,34.314,223.458,107.022
200,34.343,223.363,106.941
201,35.071,223.437,106.978
202,33.014,223.467,107.119
203,33.343,223.403,106.961
204,35.014,223.547,107.122
205,35.543,223.459,106.969
206,34.157,223.602,106.989
207,34.457,223.553,107.030
208,34.029,223.564,106.934
209,31.943,223.508,106.975
210,33.029,223.494,106.962
211,34.300,223.508,107.054
212,32.800,223.398,107.014
213,34.586,223.541,106.949
214,32.529,223.498,106.982
215,33.957,223.498,107.056
216,32.943,223.579,107.020
217,33.900,223.500,107.060
218,34.086,223.468,107.114
219,34.386,223.531,106.979
220,34.629,223.364,107.081
221,33.243,223.598,107.013
222,32.457,223.460,107.041
223,32.043,223.466,106.991
224,33.429,223.541,107.042
225,32.529,223.490,106.935
226,32.471,223.534,107.070
227,32.929,223.388,107.035
228,34.614,223.414,107.181
229,32.814,223.436,107.043
230,34.586,223.476,107.011
231,34.486,223.498,107.046
232,32.829,223.440,106.916
233,33.743,223.512,107.106
234,34.500,223.452,107.031
235,35.000,223.527,107.034
236,32.586,223.554,106.900
237,33.114,223.443,107.024
238,32.157,223.592,106.982
239,33.014,223.521,107.063
240,33.014,223.480,107.031
241,32.200,223.462,106.960
242,34.600,223.506,106.967
243,33.714,223.474,107.121
244,32.986,223.500,107.011
245,33.329,223.584,106.986
246,33.143,223.495,106.920
247,34.086,223.684,107.020
248,34.800,223.424,107.048
249,32.743,223.652,106.965
250,35.329,223.500,107.058
251,33.786,223.497,107.011
252,32.729,223.506,107.043
253,34.386,223.439,107.041
254,32.086,223.536,106.975
255,34.029,223.505,106.962
256,34.400,223.437,107.003
257,31.929,223.330,106.896
258,33.486,223.680,106.980
259,33.286,223.434,107.014
260,33.471,223.553,107.055
261,32.843,223.499,107.018
262,33.357,223.462,107.085
263,33.229,223.517,107.044
264,32.929,223.589,107.034
265,34.271,223.477,107.005
266,32.886,223.443,107.046
267,33.414,223.592,107.080
268,32.686,223.472,106.972
269,32.743,223.505,107.003
270,32.643,223.539,107.008
271,31.700,223.579,106.998
272,32.686,223.573,107.099
273,32.529,223.650,107.032
274,33.000,223.485,107.077
275,33.186,223.447,107.012
276,35.500,223.541,107.014
277,34.743,223.634,107.031
278,32.986,223.551,106.941
279,33.129,223.393,106.943
280,33.800,223.421,107.074
281,33.500,223.471,107.079
282,34.300,223.491,107.030
283,33.171,223.440,107.024
284,35.243,223.503,106.952
285,32.771,223.598,107.163
286,33.814,223.525,106.981
287,34.371,223.541,107.035
288,33.114,223.547,107.008
289,33.186,223.409,106.982
290,33.643,223.538,107.141
291,35.000,223.619,107.089
292,34.671,223.541,107.004
293,33.071,223.493,107.036
294,34.614,223.457,106.995
295,33.829,223.519,106.942
296,34.657,223.554,106.893
297,35.257,223.527,106.998
298,33.143,223.569,107.054
299,33.757,223.437,107.045
300,34.243,223.533,106.936
301,32.500,223.521,106.959
302,33.629,223.581,107.056
303,33.700,223.422,107.050
304,33.214,223.536,107.082
305,34.029,223.665,107.019
306,33.671,223.578,106.996
307,34.643,223.528,107.158
308,34.429,223.544,107.078
309,33.143,223.549,106.946
310,33.100,223.442,106.875
311,33.743,223.608,107.098
312,34.171,223.458,106.968
313,34.714,223.593,106.993
314,34.029,223.496,107.102
315,35.543,223.510,107.064
316,33.200,223.405,106.927
317,33.800,223.551,107.014
