 ,Mean1,XM1,YM1
1,-3502.386,223.501,106.999
2,-3505.186,223.500,107.001
3,-3505.214,223.500,107.000
4,-3505.257,223.499,107.000
5,-3506.700,223.500,107.000
6,-3505.943,223.500,106.999
7,-3504.871,223.500,107.000
8,-3504.500,223.500,107.002
9,-3506.371,223.501,107.001
10,-3506.186,223.499,106.999
11,-3507.572,223.500,107.000
12,-3506.257,223.499,107.000
13,-3505.871,223.501,107.001
14,-3506.686,223.500,107.001
15,-3506.943,223.500,107.001
16,-3509.829,223.501,106.999
17,-3506.300,223.500,106.999
18,-3505.629,223.500,106.998
19,-3505.729,223.500,106.999
20,-3504.886,223.500,107.000
21,-3506.100,223.499,107.000
22,-3508.286,223.500,107.000
23,-3507.371,223.501,106.999
24,-3506.129,223.499,106.999
25,-3506.186,223.499,106.999
26,-3505.914,223.501,107.000
27,-3506.543,223.500,107.000
28,-3508.057,223.500,107.000
29,-3507.072,223.500,106.999
30,-3506.614,223.499,106.999
31,-3504.629,223.500,107.000
32,-3504.971,223.500,107.000
33,-3506.757,223.499,107.000
34,-3507.572,223.500,107.000
35,-3505.686,223.500,107.001
36,-3506.143,223.499,106.999
37,-3505.814,223.500,107.000
38,-3503.971,223.500,107.001
39,-3507.814,223.498,107.000
40,-3508.514,223.500,107.001
41,-3506.743,223.499,107.000
42,-3507.529,223.500,106.998
43,-3505.700,223.500,107.000
44,-3506.000,223.499,106.999
45,-3507.557,223.501,107.002
46,-3506.186,223.500,107.001
47,-3506.443,223.501,107.000
48,-3505.500,223.500,107.000
49,-3504.643,223.500,107.000
50,-3504.971,223.501,107.000
51,-3506.229,223.500,107.001
52,-3507.086,223.501,107.002
53,-3505.714,223.499,107.000
54,-3505.614,223.500,106.999
55,-3504.886,223.499,107.000
56,-3504.814,223.500,107.001
57,-3505.600,223.501,107.001
58,-3506.386,223.501,107.000
59,-3507.543,223.499,107.000
60,-3505.629,223.501,106.999
61,-3506.343,223.500,107.000
62,-3505.829,223.501,106.999
63,-3505.214,223.500,107.002
64,-3507.900,223.501,107.001
65,-3507.614,223.500,107.000
66,-3506.614,223.500,106.999
67,-3506.543,223.499,107.000
68,-3505.572,223.500,107.000
69,-3506.657,223.499,107.000
70,-3507.428,223.498,107.000
71,-3509.214,223.501,107.000
72,-3507.129,223.500,106.998
73,-3506.643,223.500,107.000
74,-3505.657,223.499,107.001
75,-3508.443,223.501,107.000
76,-3508.714,223.500,107.002
77,-3509.057,223.500,107.000
78,-3506.871,223.499,106.999
79,-3506.743,223.500,107.001
80,-3507.286,223.499,107.001
81,-3506.600,223.499,107.000
82,-3507.543,223.501,107.001
83,-2678.871,223.501,106.982
84,47.100,223.467,106.985
85,47.471,223.499,106.919
86,30.786,223.471,107.060
87,29.957,223.561,107.061
88,31.843,223.468,106.977
89,32.100,223.497,106.997
90,30.300,223.406,106.921
91,32.014,223.571,106.883
92,30.614,223.559,107.027
93,32.343,223.579,107.095
94,30.071,223.531,107.130
95,32.057,223.513,107.033
96,30.400,223.540,107.056
97,31.943,223.494,106.880
98,31.643,223.362,107.073
99,32.286,223.601,106.950
100,32.171,223.521,107.040
101,31.086,223.553,107.109
102,31.629,223.364,106.874
103,32.300,223.536,107.033
104,31.971,223.408,107.088
105,32.029,223.374,107.006
106,31.171,223.591,106.989
107,32.171,223.498,107.020
108,31.571,223.510,107.028
109,33.243,223.531,106.971
110,34.700,223.419,106.831
111,31.343,223.488,107.059
112,32.829,223.446,107.014
113,32.629,223.516,107.016
114,31.557,223.491,106.959
115,32.371,223.469,106.936
116,33.429,223.504,106.976
117,31.800,223.687,107.013
118,31.386,223.525,106.951
119,31.414,223.502,106.953
120,30.857,223.453,106.935
121,33.814,223.458,107.077
122,31.643,223.454,106.949
123,31.500,223.550,106.987
124,31.614,223.436,107.009
125,32.057,223.433,106.956
126,32.386,223.407,107.050
127,32.814,223.443,107.004
128,33.886,223.589,107.018
129,32.786,223.455,107.066
130,32.729,223.555,106.992
131,33.714,223.474,106.947
132,31.757,223.485,106.952
133,32.957,223.514,107.003
134,33.286,223.539,107.071
135,30.143,223.401,106.946
136,32.957,223.479,107.003
137,32.143,223.659,107.024
138,32.557,223.493,106.988
139,32.386,223.511,106.972
140,32.129,223.555,107.080
141,33.286,223.530,107.036
142,32.900,223.534,107.064
143,32.957,223.588,107.092
144,33.943,223.487,107.008
145,32.629,223.550,106.896
146,34.014,223.488,106.996
147,33.243,223.506,106.883
148,31.514,223.420,106.967
149,31.643,223.425,106.952
150,32.043,223.465,107.010
151,31.257,223.683,106.984
152,31.300,223.476,106.941
153,31.571,223.403,106.927
154,31.129,223.499,106.846
155,31.671,223.633,107.047
156,31.186,223.476,106.989
157,31.829,223.466,106.994
158,32.586,223.516,107.059
159,31.657,223.545,106.989
160,34.243,223.475,106.946
161,33.229,223.460,107.105
162,33.286,223.514,106.957
163,33.386,223.597,106.928
164,32.257,223.680,106.924
165,32.700,223.534,106.820
166,31.371,223.518,107.127
167,31.886,223.533,106.978
168,31.886,223.621,107.053
169,31.514,223.560,107.019
170,32.700,223.479,106.995
171,31.157,223.452,106.960
172,32.043,223.389,106.944
173,31.900,223.495,107.071
174,33.386,223.509,107.098
175,32.800,223.575,106.835
176,34.071,223.384,106.986
177,33.600,223.524,107.111
178,31.271,223.515,106.972
179,31.586,223.445,106.941
180,31.614,223.436,107.018
181,31.557,223.435,107.085
182,33.243,223.576,107.018
183,33.029,223.411,107.084
184,32.900,223.428,107.129
185,31.629,223.512,106.963
186,30.986,223.519,107.029
187,32.871,223.616,107.033
188,31.214,223.569,107.009
189,32.714,223.490,106.946
190,32.329,223.426,106.931
191,31.743,223.431,107.104
192,31.800,223.514,106.988
193,31.543,223.526,106.927
194,33.329,223.524,106.898
195,32.757,223.604,107.042
196,31.757,223.432,106.993
197,33.457,223.583,106.986
198,32.500,223.534,106.961
199,33.300,223.401,106.982
200,32.300,223.591,106.918
201,32.314,223.733,107.005
202,31.671,223.522,106.988
203,31.829,223.583,107.045
204,32.114,223.561,106.917
205,34.443,223.544,107.050
206,31.357,223.582,106.946
207,31.800,223.468,107.111
208,31.586,223.552,106.983
209,31.500,223.581,106.998
210,32.000,223.477,106.982
211,32.514,223.620,107.043
212,32.043,223.511,106.941
213,34.143,223.462,107.041
214,32.900,223.396,107.074
215,32.000,223.579,107.016
216,32.457,223.517,106.921
217,31.743,223.435,107.216
218,32.243,223.538,107.008
219,33.271,223.367,106.953
220,32.986,223.626,107.011
221,32.571,223.426,106.988
222,33.771,223.451,106.940
223,33.000,223.571,107.174
224,32.557,223.509,107.019
225,33.071,223.517,106.968
226,33.700,223.405,107.107
227,33.271,223.480,106.956
228,30.857,223.362,107.014
229,32.043,223.407,106.961
230,33.429,223.526,106.968
231,32.000,223.580,107.024
232,32.086,223.484,106.958
233,30.543,223.467,106.934
234,32.757,223.559,107.012
235,34.443,223.447,106.982
236,31.543,223.521,106.861
237,33.943,223.631,107.045
238,32.329,223.535,107.108
239,32.871,223.490,107.051
240,32.129,223.416,106.974
241,33.457,223.456,107.050
242,31.971,223.499,106.992
243,31.357,223.500,107.011
244,32.171,223.496,107.056
245,33.257,223.472,106.992
246,31.986,223.461,106.876
247,32.743,223.477,107.041
248,31.857,223.474,106.876
249,30.114,223.569,107.118
250,31.600,223.448,106.967
251,32.329,223.516,106.808
252,32.929,223.455,107.063
253,31.986,223.461,107.040
254,31.557,223.595,107.098
255,33.200,223.353,106.886
256,33.029,223.545,107.036
257,31.571,223.338,107.095
258,33.529,223.463,107.056
259,32.071,223.466,107.028
260,32.329,223.605,107.055
261,32.400,223.592,107.048
262,31.771,223.714,107.036
263,32.300,223.588,107.004
264,31.143,223.486,107.032
265,30.286,223.469,106.989
266,32.086,223.411,107.037
267,34.471,223.444,106.936
268,32.271,223.477,106.832
269,31.286,223.557,106.979
270,33.329,223.430,107.017
271,31.914,223.461,106.946
272,32.600,223.610,107.105
273,32.200,223.464,107.082
274,32.514,223.537,106.926
275,30.929,223.447,106.967
276,31.629,223.547,107.204
277,31.743,223.421,106.845
278,31.629,223.414,106.965
279,33.757,223.507,107.092
280,32.943,223.486,106.950
281,31.714,223.400,106.966
282,30.100,223.606,106.962
283,32.443,223.524,106.830
284,33.200,223.488,107.059
285,33.114,223.594,106.955
286,32.043,223.422,107.044
287,32.543,223.510,107.070
288,32.657,223.571,107.002
289,31.843,223.333,107.095
290,33.357,223.507,106.885
291,32.229,223.463,106.916
292,30.771,223.347,107.035
293,32.300,223.479,107.049
294,32.457,223.463,107.013
295,32.614,223.327,107.060
296,32.143,223.470,106.982
297,31.100,223.493,106.971
298,31.700,223.552,107.045
299,31.943,223.466,107.128
300,32.043,223.468,106.982
301,31.914,223.460,107.059
302,30.329,223.500,107.001
303,32.529,223.502,107.009
304,33.500,223.549,107.025
305,32.043,223.460,106.960
306,31.629,223.517,107.087
307,33.157,223.582,106.947
308,31.029,223.602,107.105
309,31.000,223.614,106.943
310,32.971,223.499,107.040
311,32.429,223.524,107.010
312,32.186,223.449,106.987
313,31.314,223.474,106.976
314,33.357,223.548,107.060
315,31.486,223.557,107.068
316,31.886,223.508,106.999
317,33.200,223.467,106.914
318,31.914,223.508,107.118
319,33.000,223.473,107.018
320,31.457,223.413,106.835
321,31.843,223.518,107.085
322,33.429,223.489,106.914
323,32.714,223.458,106.875
324,32.671,223.538,107.034
325,30.571,223.441,107.039
326,32.271,223.633,106.956
327,30.829,223.471,106.905
328,32.500,223.467,106.999
329,32.929,223.465,106.858
330,31.314,223.460,107.037
331,32.414,223.372,106.947
332,30.843,223.498,107.126
333,32.586,223.611,106.977
334,32.871,223.480,106.907
335,32.100,223.646,106.982
336,32.186,223.494,106.998
337,31.929,223.493,106.975
338,32.586,223.579,106.991
339,31.514,223.452,106.828
340,31.600,223.552,107.028
341,31.800,223.585,106.812
342,31.543,223.488,107.006
343,31.786,223.471,106.981
344,31.771,223.555,107.116
345,31.629,223.506,106.869
346,31.943,223.491,107.040
347,33.571,223.605,106.991
348,32.357,223.527,107.006
349,31.400,223.520,107.017
350,33.071,223.497,106.951
351,31.486,223.510,106.956
352,32.629,223.507,106.903
353,31.857,223.482,107.195
354,32.386,223.482,106.942
355,33.043,223.493,106.939
356,32.429,223.462,107.018
357,31.429,223.630,106.991
358,32.500,223.514,106.876
359,29.914,223.411,106.957
360,31.300,223.458,107.125
361,31.057,223.552,107.007
362,32.643,223.511,106.997
363,34.114,223.501,106.962
364,32.414,223.582,106.967
365,31.743,223.394,106.958
366,31.457,223.554,106.945
367,33.514,223.420,107.072
368,31.786,223.467,107.081
369,30.329,223.631,106.955
370,31.371,223.553,106.932
371,32.929,223.514,106.968
372,32.471,223.532,106.952
373,31.543,223.454,106.982
374,31.714,223.596,106.951
