 ,Mean1,XM1,YM1
1,-3503.343,223.500,107.000
2,-3506.629,223.500,107.001
3,-3505.614,223.500,106.999
4,-3505.086,223.501,106.999
5,-3506.657,223.500,106.999
6,-3506.871,223.499,107.000
7,-3505.186,223.500,107.001
8,-3506.943,223.501,107.002
9,-3507.729,223.501,107.000
10,-3505.886,223.499,107.000
11,-3503.971,223.500,107.000
12,-3504.400,223.500,107.001
13,-3504.072,223.499,107.002
14,-3505.186,223.500,107.001
15,-3508.529,223.499,106.999
16,-3506.257,223.500,107.000
17,-3506.286,223.499,107.000
18,-3503.743,223.499,107.001
19,-3505.771,223.500,107.000
20,-3507.457,223.501,107.001
21,-3508.843,223.500,106.999
22,-3508.214,223.500,106.999
23,-3504.829,223.500,107.000
24,-3504.829,223.500,107.001
25,-3506.629,223.500,107.001
26,-3507.357,223.500,107.000
27,-3507.729,223.500,107.001
28,-3506.057,223.498,107.000
29,-3506.357,223.501,106.999
30,-3505.100,223.500,107.002
31,-3506.300,223.500,107.000
32,-3507.186,223.499,107.000
33,-3507.843,223.500,107.000
34,-3506.314,223.500,107.000
35,-3506.371,223.500,106.998
36,-3505.871,223.501,106.999
37,-3504.871,223.499,107.000
38,-3508.657,223.500,107.002
39,-3508.400,223.500,107.000
40,-3507.771,223.501,106.999
41,-3506.971,223.501,107.000
42,-3506.186,223.500,107.001
43,-3506.386,223.499,107.001
44,-3506.271,223.500,106.999
45,-3507.143,223.500,107.000
46,-3507.814,223.501,107.000
47,-3506.700,223.500,106.999
48,-3505.943,223.500,107.000
49,-3506.657,223.500,107.002
50,-3505.286,223.500,106.999
51,-3506.914,223.500,106.999
52,-3507.000,223.500,106.999
53,-3505.529,223.500,106.999
54,-3504.971,223.500,107.000
55,-3505.857,223.501,107.000
56,-3508.157,223.501,107.000
57,-3507.686,223.500,107.000
58,-3508.014,223.500,107.000
59,-3505.457,223.500,106.999
60,-3505.757,223.500,106.999
61,-3505.286,223.500,107.001
62,-3508.086,223.501,107.000
63,-3508.800,223.501,107.000
64,-3509.286,223.500,106.999
65,-3508.357,223.500,107.000
66,-3504.600,223.499,107.000
67,-3506.072,223.499,107.001
68,-3506.771,223.500,107.001
69,-3508.186,223.500,107.000
70,-3509.343,223.499,106.999
71,-3508.843,223.501,106.998
72,-3506.486,223.501,107.000
73,-3507.171,223.499,106.999
74,-3507.957,223.500,107.002
75,-3507.486,223.500,107.001
76,-3508.129,223.500,107.001
77,-3506.300,223.500,107.001
78,-3507.086,223.500,107.002
79,-3506.300,223.500,107.001
80,-3508.271,223.502,107.000
81,-3508.271,223.501,107.000
82,-3508.257,223.500,107.000
83,-3504.214,223.499,106.998
84,-91.929,223.472,106.861
85,46.729,223.531,106.978
86,30.657,223.499,107.067
87,31.557,223.465,107.032
88,30.557,223.685,106.993
89,32.529,223.684,107.106
90,31.643,223.552,106.978
91,30.771,223.539,107.009
92,30.386,223.445,106.976
93,31.157,223.447,107.051
94,31.857,223.459,107.042
95,30.343,223.492,107.124
96,30.957,223.602,106.952
97,31.786,223.528,107.081
98,31.643,223.499,107.028
99,31.486,223.510,107.090
100,31.343,223.493,106.864
101,31.300,223.433,106.872
102,32.757,223.542,106.985
103,30.986,223.563,106.920
104,32.243,223.444,106.986
105,32.486,223.363,106.993
106,33.129,223.527,106.982
107,33.743,223.409,106.967
108,34.086,223.542,107.065
109,31.829,223.383,107.019
110,30.843,223.566,107.133
111,31.700,223.589,107.062
112,30.100,223.431,107.116
113,30.329,223.410,106.981
114,30.300,223.483,106.967
115,32.486,223.493,107.155
116,30.457,223.430,106.997
117,31.857,223.469,106.921
118,31.786,223.413,107.068
119,32.514,223.484,106.980
120,32.057,223.503,106.996
121,31.471,223.553,106.929
122,33.100,223.431,106.986
123,30.686,223.471,106.949
124,32.329,223.543,106.893
125,32.771,223.425,106.949
126,30.343,223.335,106.944
127,30.957,223.464,107.064
128,32.600,223.551,106.922
129,32.514,223.417,107.208
130,32.171,223.511,106.991
131,31.829,223.485,107.071
132,32.229,223.448,107.016
133,31.614,223.612,107.162
134,31.643,223.402,107.040
135,30.286,223.574,106.941
136,33.371,223.459,107.070
137,33.371,223.506,106.994
138,30.814,223.480,107.056
139,32.014,223.530,107.033
140,32.571,223.367,107.068
141,32.286,223.446,106.893
142,32.643,223.480,107.080
143,30.614,223.451,107.064
144,31.771,223.580,106.981
145,31.586,223.514,106.908
146,31.629,223.477,107.073
147,31.129,223.481,106.994
148,30.871,223.473,107.040
149,31.314,223.523,107.086
150,30.471,223.498,107.159
151,32.271,223.617,107.018
152,33.714,223.472,106.928
153,33.014,223.677,106.790
154,31.614,223.518,106.957
155,33.614,223.559,106.894
156,32.714,223.529,106.952
157,31.714,223.504,106.918
158,31.671,223.565,106.940
159,31.243,223.481,106.897
160,31.800,223.448,106.964
161,31.071,223.417,106.837
162,31.229,223.618,107.034
163,32.429,223.595,106.936
164,30.714,223.466,106.974
165,31.286,223.514,107.114
166,33.471,223.529,106.891
167,33.043,223.628,107.120
168,32.514,223.485,107.020
169,31.943,223.377,107.036
170,32.986,223.517,107.112
171,34.100,223.467,106.978
172,30.629,223.584,106.973
173,31.729,223.561,107.143
174,32.114,223.568,107.112
175,31.386,223.575,106.921
176,33.443,223.527,107.074
177,31.829,223.417,106.988
178,32.629,223.523,107.065
179,30.986,223.433,106.936
180,32.000,223.400,106.981
181,30.300,223.488,107.044
182,32.486,223.479,106.904
183,31.343,223.554,106.970
184,33.986,223.510,106.973
185,33.414,223.604,107.122
186,32.614,223.512,106.894
187,32.957,223.492,106.845
188,33.029,223.465,107.014
189,32.886,223.629,106.976
190,31.657,223.481,106.944
191,31.286,223.392,106.860
192,31.571,223.467,107.079
193,32.600,223.529,107.047
194,32.000,223.367,106.947
195,31.900,223.606,106.957
196,30.971,223.555,107.102
197,33.071,223.526,107.058
198,32.157,223.379,107.076
199,33.757,223.524,106.944
200,32.771,223.521,107.112
201,32.229,223.502,106.941
202,31.400,223.619,106.917
203,33.843,223.404,107.051
204,30.814,223.648,107.122
205,32.114,223.416,106.993
206,35.843,223.560,106.994
207,32.786,223.460,106.886
208,32.286,223.480,106.915
209,32.186,223.471,106.939
210,31.571,223.423,106.881
211,31.214,223.439,107.003
212,31.014,223.564,107.088
213,31.757,223.590,106.933
214,32.829,223.616,107.009
215,30.371,223.543,107.056
216,35.071,223.405,107.056
217,33.243,223.491,106.983
218,33.700,223.638,107.058
219,32.200,223.484,107.072
220,32.600,223.422,106.883
221,32.257,223.517,106.962
222,31.757,223.556,106.824
223,31.929,223.459,106.854
224,32.300,223.589,107.069
225,31.386,223.460,107.122
226,31.229,223.365,106.886
227,33.014,223.473,106.915
228,31.214,223.473,106.906
229,32.029,223.494,107.024
230,33.829,223.478,107.135
231,31.314,223.379,107.061
232,33.043,223.459,106.957
233,31.686,223.648,106.859
234,34.129,223.555,106.913
235,33.600,223.445,107.014
236,34.229,223.595,106.942
237,31.871,223.552,106.973
238,31.114,223.540,107.053
239,30.800,223.485,107.113
240,31.857,223.457,106.988
241,32.100,223.500,107.107
242,31.943,223.523,106.914
243,31.900,223.466,107.041
244,33.171,223.560,106.955
245,31.786,223.524,106.881
246,33.000,223.490,107.016
247,32.300,223.637,107.093
248,30.543,223.607,107.131
249,33.429,223.539,107.074
250,32.257,223.465,107.059
251,31.614,223.505,106.996
252,30.171,223.503,107.079
253,30.843,223.447,106.943
254,32.129,223.450,106.894
255,30.229,223.613,106.962
256,30.357,223.576,106.911
257,35.671,223.489,106.835
258,31.957,223.541,106.985
259,32.157,223.408,106.931
260,30.857,223.538,106.968
261,30.900,223.487,107.015
262,32.900,223.526,106.965
