 ,Mean1,XM1,YM1
1,-3501.443,223.499,107.000
2,-3502.971,223.500,107.001
3,-3505.614,223.501,107.001
4,-3506.029,223.500,106.999
5,-3503.514,223.500,107.000
6,-3504.257,223.500,106.999
7,-3506.471,223.499,107.001
8,-3504.357,223.500,107.000
9,-3505.614,223.500,107.001
10,-3505.771,223.501,107.000
11,-3508.771,223.500,107.000
12,-3504.800,223.501,106.999
13,-3503.971,223.500,107.001
14,-3506.171,223.500,107.000
15,-3506.014,223.499,107.001
16,-3505.814,223.500,107.002
17,-3507.072,223.500,107.000
18,-3506.457,223.499,106.999
19,-3505.043,223.501,106.999
20,-3504.243,223.499,107.000
21,-3505.943,223.501,107.000
22,-3506.971,223.500,107.001
23,-3505.857,223.501,107.000
24,-3506.486,223.500,106.999
25,-3504.586,223.500,106.999
26,-3503.357,223.498,107.000
27,-3505.414,223.501,107.001
28,-3505.943,223.500,107.001
29,-3507.557,223.501,107.000
30,-3506.986,223.500,106.999
31,-3505.871,223.501,107.000
32,-3505.700,223.500,107.001
33,-3505.157,223.500,107.001
34,-3507.100,223.499,107.001
35,-3507.914,223.500,107.000
36,-3506.729,223.500,107.000
37,-3505.000,223.499,107.000
38,-3505.057,223.500,107.001
39,-3504.557,223.500,107.001
40,-3504.943,223.500,107.001
41,-3506.829,223.500,107.001
42,-3504.729,223.501,107.000
43,-3504.671,223.500,107.000
44,-3504.686,223.501,107.001
45,-3503.843,223.501,107.000
46,-3505.771,223.500,107.001
47,-3507.271,223.501,107.001
48,-3505.971,223.500,107.000
49,-3506.743,223.500,106.999
50,-3505.857,223.500,107.000
51,-3505.486,223.500,107.001
52,-3507.943,223.499,107.001
53,-3506.800,223.500,107.001
54,-3507.386,223.500,107.000
55,-3504.900,223.500,106.999
56,-3506.057,223.500,107.000
57,-3503.572,223.500,107.001
58,-3504.757,223.500,107.002
59,-3507.800,223.500,107.000
60,-3507.214,223.501,107.000
61,-3506.000,223.500,106.999
62,-3505.100,223.499,106.998
63,-3504.286,223.499,107.000
64,-3505.329,223.501,107.001
65,-3505.514,223.500,107.001
66,-3507.414,223.499,107.000
67,-3506.686,223.500,106.999
68,-3504.243,223.501,107.000
69,-3504.643,223.500,107.000
70,-3503.471,223.500,107.000
71,-3508.457,223.499,107.001
72,-3506.829,223.500,106.999
73,-3507.671,223.501,106.999
74,-3504.572,223.500,106.999
75,-3505.786,223.500,107.001
76,-3506.200,223.500,107.000
77,-3508.286,223.499,106.999
78,-3507.657,223.499,107.001
79,-3506.157,223.500,107.000
80,-3505.600,223.500,106.999
81,-3504.900,223.500,107.000
82,-3505.771,223.500,107.001
83,-2526.714,223.503,106.977
84,48.814,223.556,107.002
85,50.014,223.511,106.968
86,32.429,223.601,106.963
87,31.514,223.419,107.136
88,32.800,223.466,106.983
89,33.443,223.501,107.051
90,32.914,223.551,107.032
91,32.171,223.520,107.011
92,31.714,223.454,107.051
93,31.929,223.519,106.975
94,31.900,223.492,106.938
95,33.971,223.379,106.977
96,33.000,223.475,107.142
97,32.557,223.555,107.034
98,32.100,223.483,107.000
99,32.943,223.454,107.149
100,34.229,223.407,107.011
101,34.271,223.478,106.994
102,32.814,223.585,106.948
103,33.086,223.592,106.967
104,34.086,223.500,106.866
105,33.671,223.464,107.002
106,32.914,223.617,106.975
107,31.743,223.521,106.964
108,33.943,223.553,106.858
109,33.957,223.521,106.971
110,32.314,223.417,106.946
111,34.729,223.514,107.094
112,33.586,223.574,107.068
113,34.029,223.552,107.003
114,32.857,223.551,107.011
115,33.686,223.535,106.989
116,34.171,223.448,107.059
117,35.829,223.507,107.054
118,33.171,223.421,106.958
119,34.500,223.553,107.004
120,32.514,223.608,107.029
121,34.157,223.595,106.924
122,32.457,223.511,106.929
123,32.614,223.520,106.981
124,34.329,223.509,106.897
125,34.400,223.459,107.093
126,31.957,223.563,106.936
127,33.457,223.452,106.897
128,33.057,223.467,106.955
129,33.857,223.512,106.946
130,32.600,223.597,106.921
131,33.843,223.641,107.032
132,33.814,223.446,106.872
133,32.543,223.424,107.145
134,34.500,223.544,106.984
135,32.143,223.392,107.045
136,32.471,223.544,106.912
137,34.543,223.483,106.978
138,31.457,223.491,106.985
139,33.100,223.468,107.076
140,35.457,223.565,107.052
141,31.400,223.494,107.049
142,32.071,223.594,107.144
143,32.600,223.402,106.910
144,34.914,223.453,107.052
145,32.900,223.619,106.969
146,35.829,223.447,106.913
147,34.586,223.407,106.963
148,34.743,223.494,106.976
149,34.943,223.640,107.033
150,34.457,223.532,106.990
151,33.400,223.497,106.886
152,33.471,223.562,106.990
153,33.614,223.486,106.988
154,33.771,223.581,107.018
155,34.914,223.542,107.087
156,34.086,223.536,107.071
157,33.929,223.460,106.992
158,34.129,223.510,106.953
159,35.071,223.541,107.066
160,33.286,223.581,107.049
161,34.000,223.432,107.058
162,34.357,223.538,106.931
163,34.429,223.459,107.042
164,33.186,223.524,106.994
165,33.200,223.433,107.103
166,32.900,223.521,107.007
167,32.943,223.432,107.088
168,35.143,223.456,107.067
169,34.529,223.468,107.116
170,32.586,223.617,106.859
171,34.229,223.424,106.941
172,34.300,223.509,106.970
173,34.686,223.512,107.070
174,33.471,223.519,107.086
175,35.529,223.418,107.007
176,34.100,223.357,106.954
177,34.229,223.538,106.966
178,34.657,223.493,107.158
179,35.071,223.608,107.047
180,34.314,223.565,106.957
181,34.914,223.592,106.971
182,33.500,223.343,107.027
183,34.557,223.498,107.078
184,34.743,223.586,106.975
185,33.029,223.501,106.981
186,34.229,223.499,106.963
187,33.200,223.523,107.055
188,32.329,223.508,106.959
189,33.100,223.449,106.897
190,34.886,223.568,107.083
191,34.314,223.464,106.984
192,33.114,223.598,107.006
193,34.571,223.596,107.139
194,33.300,223.585,106.906
195,34.000,223.516,106.987
196,34.743,223.507,106.947
197,34.700,223.388,107.071
198,35.257,223.477,106.979
199,34.500,223.574,107.017
200,35.971,223.680,106.887
201,35.557,223.608,106.964
202,31.686,223.309,107.027
203,34.943,223.453,106.957
204,35.186,223.485,106.984
205,32.843,223.518,107.145
206,33.200,223.553,106.917
207,33.971,223.509,107.063
208,33.529,223.491,107.102
209,35.557,223.556,106.940
210,34.471,223.424,106.983
211,34.343,223.537,107.011
212,32.543,223.453,107.027
213,34.629,223.534,106.954
214,33.514,223.469,106.962
215,33.843,223.481,106.916
216,35.157,223.509,107.005
217,32.557,223.482,106.927
218,34.214,223.552,106.918
219,33.714,223.488,107.031
220,33.771,223.410,107.038
221,34.729,223.452,106.936
222,34.243,223.478,106.843
223,33.900,223.501,106.973
224,33.686,223.488,107.030
225,32.729,223.588,106.997
226,34.943,223.453,107.011
227,35.786,223.552,107.056
228,33.429,223.587,107.090
229,35.200,223.593,107.042
230,35.086,223.522,107.005
231,34.671,223.541,107.010
232,32.586,223.532,106.982
233,33.957,223.501,106.986
234,31.671,223.394,106.998
235,34.214,223.485,107.019
236,34.129,223.478,106.833
237,32.829,223.415,107.009
238,33.357,223.442,106.908
239,34.100,223.490,106.925
240,31.657,223.496,106.811
241,34.186,223.564,107.038
242,34.971,223.583,107.004
243,32.771,223.536,106.875
244,35.314,223.378,107.028
245,34.514,223.477,106.996
246,34.943,223.522,107.001
247,34.043,223.576,106.952
248,32.771,223.443,107.049
249,33.857,223.594,107.112
250,34.886,223.428,107.015
251,31.929,223.479,106.955
252,32.557,223.378,106.919
253,34.586,223.419,106.908
254,33.057,223.497,106.912
255,31.671,223.516,106.983
256,34.386,223.556,107.180
257,33.857,223.591,106.981
258,34.643,223.581,107.073
259,33.514,223.482,107.064
260,33.486,223.485,106.961
261,32.971,223.454,107.062
262,33.714,223.450,106.943
263,32.714,223.470,107.033
264,33.843,223.481,107.023
265,32.843,223.479,106.955
266,34.157,223.390,107.030
267,33.943,223.481,106.983
268,34.614,223.520,107.135
269,33.600,223.331,106.971
270,32.557,223.514,107.027
271,33.100,223.493,107.040
272,34.829,223.440,107.120
273,33.100,223.373,107.094
274,34.057,223.523,107.086
275,34.029,223.511,107.058
276,32.214,223.535,107.098
277,34.600,223.489,106.949
278,34.329,223.496,106.986
279,33.543,223.470,106.940
280,34.386,223.452,107.016
281,33.429,223.480,107.136
282,33.886,223.526,106.979
283,33.186,223.584,107.040
284,34.329,223.507,106.966
285,30.686,223.480,107.076
286,32.929,223.640,107.040
287,34.443,223.439,106.983
288,34.243,223.334,106.890
289,34.114,223.387,107.003
290,34.786,223.512,107.018
291,34.243,223.515,106.968
292,33.429,223.422,106.907
293,35.243,223.530,106.986
294,34.929,223.509,107.086
295,33.700,223.463,107.011
296,35.214,223.519,106.951
297,32.829,223.456,106.983
298,32.457,223.473,106.971
299,35.043,223.523,107.034
300,34.043,223.435,106.905
301,33.271,223.448,106.990
302,32.143,223.381,107.062
303,33.571,223.547,107.077
304,35.243,223.421,107.021
305,33.857,223.431,106.913
306,35.457,223.436,107.016
307,36.486,223.388,107.038
308,33.914,223.514,107.058
309,33.943,223.486,106.995
310,34.129,223.597,107.026
311,33.214,223.512,107.080
312,34.557,223.414,106.991
313,33.157,223.453,106.941
314,34.643,223.489,107.032
315,34.129,223.557,106.891
316,32.071,223.602,106.931
317,32.843,223.510,107.021
318,32.757,223.477,106.958
319,34.357,223.504,106.979
320,34.400,223.390,106.990
321,35.414,223.396,106.989
322,34.629,223.416,106.938
323,34.014,223.557,107.102
324,33.286,223.507,106.975
325,34.457,223.490,106.957
326,34.357,223.530,106.977
327,34.900,223.542,107.053
328,33.000,223.574,106.914
329,33.629,223.506,106.930
330,32.629,223.444,107.018
331,33.657,223.389,107.030
332,32.857,223.530,107.034
333,34.900,223.593,106.915
334,33.629,223.412,107.071
335,33.657,223.605,107.048
336,33.114,223.468,106.930
337,34.386,223.442,107.063
338,33.986,223.392,107.050
339,34.500,223.561,106.962
340,34.386,223.549,106.946
341,31.771,223.352,106.924
342,31.900,223.564,107.026
343,33.043,223.510,107.013
344,33.257,223.582,106.938
345,34.600,223.624,106.918
346,32.457,223.595,106.989
347,32.014,223.512,107.017
348,32.943,223.435,106.867
349,32.586,223.326,106.953
350,34.757,223.578,106.921
351,34.529,223.393,106.951
352,35.143,223.560,107.030
353,34.586,223.425,106.897
354,33.829,223.541,106.970
355,34.443,223.415,106.994
356,33.557,223.552,106.969
357,34.343,223.288,107.225
358,34.200,223.559,107.031
359,32.957,223.543,107.042
360,34.843,223.426,107.209
361,32.814,223.482,107.082
362,33.471,223.529,106.953
363,32.743,223.430,106.929
364,32.586,223.489,107.154
365,32.657,223.482,106.944
366,32.386,223.599,107.073
367,33.771,223.528,107.071
368,34.271,223.563,106.976
369,33.257,223.576,107.009
370,32.971,223.415,106.967
371,34.800,223.540,107.046
372,34.343,223.442,106.927
373,33.929,223.496,106.857
374,33.729,223.450,107.041
