 ,Mean1,XM1,YM1
1,-3502.857,223.500,107.001
2,-3504.229,223.500,107.000
3,-3504.643,223.500,107.000
4,-3504.714,223.500,107.001
5,-3506.957,223.500,107.000
6,-3505.600,223.500,106.998
7,-3504.928,223.500,106.999
8,-3504.129,223.501,107.000
9,-3504.657,223.500,106.999
10,-3505.243,223.499,107.001
11,-3506.700,223.500,106.999
12,-3505.129,223.500,106.999
13,-3506.800,223.500,107.000
14,-3505.586,223.500,107.001
15,-3504.843,223.501,107.001
16,-3507.500,223.501,107.001
17,-3508.643,223.500,106.999
18,-3506.086,223.499,106.999
19,-3503.400,223.499,107.000
20,-3504.529,223.500,106.999
21,-3505.629,223.501,107.001
22,-3506.729,223.501,107.001
23,-3506.714,223.500,106.999
24,-3507.086,223.499,106.998
25,-3505.529,223.500,106.999
26,-3504.129,223.499,107.001
27,-3504.086,223.500,107.001
28,-3505.671,223.500,107.000
29,-3506.986,223.501,106.999
30,-3506.129,223.501,106.999
31,-3504.500,223.500,107.000
32,-3505.386,223.500,107.000
33,-3505.300,223.500,106.999
34,-3507.271,223.500,107.001
35,-3506.600,223.501,106.999
36,-3506.529,223.500,106.999
37,-3505.600,223.501,106.999
38,-3504.857,223.501,107.000
39,-3506.286,223.500,107.002
40,-3507.614,223.500,107.000
41,-3507.543,223.501,107.000
42,-3504.614,223.500,106.998
43,-3504.443,223.501,107.000
44,-3505.286,223.499,106.999
45,-3506.829,223.501,107.001
46,-3507.957,223.500,107.001
47,-3506.514,223.500,106.999
48,-3505.729,223.500,106.999
49,-3505.900,223.500,107.000
50,-3505.186,223.500,107.000
51,-3506.600,223.500,107.000
52,-3507.914,223.500,106.999
53,-3508.271,223.499,106.999
54,-3504.043,223.500,106.999
55,-3504.572,223.499,107.000
56,-3506.043,223.499,106.999
57,-3506.657,223.502,107.000
58,-3506.786,223.501,107.000
59,-3505.829,223.500,106.999
60,-3505.572,223.500,107.000
61,-3504.500,223.501,107.000
62,-3506.557,223.500,107.000
63,-3506.586,223.499,107.000
64,-3507.786,223.500,106.999
65,-3507.572,223.500,107.000
66,-3505.643,223.499,107.000
67,-3508.243,223.500,107.000
68,-3505.729,223.499,107.001
69,-3508.400,223.500,107.000
70,-3508.543,223.499,107.001
71,-3507.900,223.500,107.000
72,-3506.043,223.501,107.000
73,-3503.300,223.499,107.000
74,-3505.443,223.500,107.001
75,-3505.743,223.500,107.000
76,-3506.586,223.501,107.000
77,-3506.471,223.501,106.999
78,-3506.271,223.500,106.999
79,-3506.800,223.500,107.001
80,-3506.271,223.500,107.001
81,-3506.186,223.500,107.001
82,-3508.557,223.499,106.999
83,-2220.214,223.500,106.974
84,48.971,223.443,106.962
85,47.029,223.451,106.991
86,31.471,223.494,106.927
87,33.086,223.538,107.018
88,33.043,223.455,107.007
89,32.171,223.462,106.958
90,31.929,223.520,106.969
91,32.086,223.398,106.958
92,32.629,223.546,106.958
93,33.400,223.525,107.041
94,32.286,223.574,107.042
95,32.443,223.520,106.942
96,34.229,223.464,107.015
97,32.986,223.520,107.101
98,33.129,223.518,107.042
99,33.500,223.541,107.068
100,32.971,223.672,106.924
101,31.843,223.609,107.056
102,32.214,223.504,107.014
103,32.243,223.576,106.940
104,33.143,223.544,107.119
105,33.671,223.540,106.920
106,34.429,223.455,107.007
107,33.314,223.345,107.068
108,34.300,223.574,107.061
109,33.243,223.475,107.044
110,31.986,223.383,107.053
111,33.800,223.526,106.992
112,32.129,223.514,106.898
113,33.000,223.592,107.026
114,33.729,223.600,107.054
115,33.700,223.442,107.032
116,33.414,223.600,107.014
117,34.086,223.526,106.936
