 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,38.043,223.331,107.555,44.221,174.542,151.587,43.184,152.487,159.271,43.613,123.200,165.396,53.580,254.532,296.957,60.301,275.426,281.760,51.365,309.744,164.997,59.227,221.990,376.637,56.556,247.170,368.601,53.989,288.788,341.965,59.539,343.158,366.362,57.391,343.636,307.181,49.689,372.835,333.726,83.927,358.523,189.887,60.081,362.672,258.360,81.584,395.398,253.257,62.919,210.914,194.012,42.425,259.859,136.868,56.426,148.830,194.078,60.385,136.320,224.999,36.912,306.936,120.895,46.564,320.949,133.202,38.417,362.744,130.044,38.496,373.466,112.322,43.991,428.890,148.447,60.279,462.106,249.744,66.417,385.633,284.296,56.664,364.487,285.354,45.854,309.663,435.465,43.081,298.115,399.173,50.486,312.257,380.908,70.542,252.998,246.653,74.157,274.916,239.084,55.599,309.139,246.967,54.789,279.391,152.483,40.271,209.638,125.270,35.547,436.950,115.881,83.135,322.706,208.150,58.689,385.133,301.772,52.737,384.675,317.548,40.895,394.318,436.561,64.404,312.079,202.623,46.093,309.758,179.095,48.048,285.955,393.989,57.162,348.673,325.405,54.125,343.008,344.124,32.976,254.247,475.879,42.843,405.706,411.590,58.119,345.731,333.368,44.342,301.442,321.342,43.486,282.358,329.625,38.766,248.759,407.481
2,34.200,223.558,107.289,47.413,174.692,151.502,56.110,152.648,159.604,52.702,123.078,165.694,52.517,254.411,297.868,61.705,275.963,281.899,51.861,309.862,165.577,48.517,221.510,377.058,54.987,247.654,368.054,56.193,289.415,342.257,59.983,343.355,366.287,56.852,343.765,307.481,55.814,373.251,333.910,56.554,358.632,189.876,76.349,362.481,257.958,80.518,395.144,253.345,53.206,211.442,194.084,42.570,259.883,136.650,49.184,149.388,193.511,53.394,136.034,224.633,40.500,307.217,121.100,42.693,321.025,132.749,43.955,363.281,130.293,33.930,373.341,112.535,39.557,428.275,148.272,39.683,461.838,250.603,60.563,385.507,284.959,78.372,363.970,285.328,44.000,310.497,435.630,48.605,297.983,399.229,42.863,312.084,380.865,66.349,253.666,246.685,78.181,274.449,239.375,97.017,309.451,246.756,51.137,279.230,152.686,48.880,209.183,125.004,40.514,437.244,115.571,98.520,323.409,208.227,63.172,385.281,302.291,53.549,384.113,317.406,31.661,394.536,437.139,115.558,311.734,202.736,59.567,308.980,179.338,51.779,285.745,393.512,58.015,349.309,325.027,60.479,343.035,344.366,32.458,253.856,475.278,37.461,405.206,411.729,50.183,345.583,333.545,47.425,301.678,320.953,47.829,282.170,329.300,41.504,248.769,407.286
3,42.514,223.632,107.560,48.837,174.873,151.840,54.331,152.590,158.576,36.645,122.897,165.550,52.425,254.650,297.989,54.863,275.063,281.826,51.555,309.966,165.562,51.233,221.796,376.642,52.874,247.390,368.224,70.818,288.959,342.145,53.487,343.416,366.420,59.400,343.092,307.175,60.819,372.016,333.642,57.960,358.099,190.935,93.570,362.537,258.179,145.777,394.106,252.785,60.132,210.925,194.366,39.561,259.985,136.816,43.853,149.161,193.880,44.375,136.917,225.482,40.904,307.523,121.051,44.686,321.215,132.327,32.840,362.553,130.115,34.678,373.784,112.221,30.487,428.469,148.364,38.702,461.972,250.284,75.430,385.740,284.394,68.197,364.324,284.910,43.012,309.495,435.559,43.879,297.864,399.508,47.158,311.946,380.384,59.458,253.885,247.458,80.199,274.918,238.826,83.181,309.535,247.175,48.968,278.682,152.462,44.193,209.958,124.823,30.980,436.869,116.232,85.122,323.143,207.800,64.277,385.115,301.150,50.970,384.813,317.422,35.089,394.269,436.741,98.615,311.489,202.811,74.155,309.436,179.700,57.394,285.233,394.050,57.713,349.036,325.453,54.182,342.696,344.731,33.729,254.273,475.496,33.209,405.353,411.424,52.968,347.089,333.526,61.432,300.931,321.195,61.158,282.415,328.388,39.613,248.325,407.497
4,40.257,223.660,107.066,43.615,174.745,151.351,47.154,152.669,158.992,34.984,123.082,165.682,52.643,254.524,298.047,77.185,275.858,281.571,60.438,309.373,165.723,53.778,221.299,376.995,56.225,247.862,368.857,58.489,289.366,342.677,62.939,343.367,366.461,67.965,343.706,307.470,56.537,372.617,333.343,50.322,358.491,189.334,82.477,362.666,257.703,151.030,394.237,252.759,48.221,210.650,193.392,45.916,260.188,136.741,36.588,149.021,193.965,49.558,136.170,225.070,38.147,306.768,120.958,44.429,320.588,131.714,41.750,362.919,130.086,39.217,373.978,112.164,34.678,428.497,148.406,41.452,462.397,250.067,63.709,385.565,284.372,82.226,364.520,284.903,42.616,310.549,435.528,51.218,298.289,399.619,43.849,311.989,380.257,66.910,253.039,247.537,77.765,274.662,238.659,81.418,309.952,247.639,53.416,279.194,152.413,50.904,209.289,124.749,37.351,436.787,115.785,97.493,322.188,208.843,64.874,385.526,301.936,51.624,384.252,317.624,35.952,394.675,436.535,67.308,311.976,203.250,73.670,309.555,179.470,57.154,285.319,393.544,57.699,349.220,324.876,62.620,342.984,344.921,37.867,253.353,475.511,33.226,404.991,411.504,49.841,346.490,333.308,61.979,301.072,321.206,52.288,282.194,329.166,43.299,248.069,406.954
5,40.843,223.132,107.367,49.558,174.756,151.659,52.956,152.923,159.326,43.508,123.139,165.924,46.879,254.301,297.025,54.788,275.445,282.642,60.146,309.138,166.026,50.028,221.949,376.713,50.377,247.347,368.663,53.938,289.181,342.372,57.426,343.673,366.242,69.217,343.795,307.573,60.650,372.217,334.058,49.915,358.770,189.503,89.860,362.780,258.244,137.289,394.359,252.530,62.169,211.124,193.744,45.715,260.000,136.598,34.949,149.011,193.700,40.606,136.490,225.147,40.368,306.745,120.531,48.357,320.764,132.182,36.026,362.886,129.777,43.409,373.250,112.248,35.661,428.480,148.471,48.202,461.890,250.131,68.609,385.215,284.457,67.876,363.999,284.998,40.659,309.714,435.564,45.895,297.620,399.331,49.356,311.853,380.369,69.849,253.921,247.042,87.434,274.486,238.692,96.266,309.828,246.489,50.311,279.313,152.436,56.036,209.272,125.157,40.459,436.530,116.116,84.459,323.099,208.591,64.160,385.246,301.727,46.789,384.896,317.326,30.823,394.456,437.144,76.615,312.258,202.918,62.866,309.147,179.747,58.644,285.990,393.647,57.338,348.888,325.311,66.844,341.773,344.782,37.928,254.304,475.674,37.252,405.850,411.483,64.802,345.225,333.243,59.185,301.229,321.303,59.685,282.709,329.002,47.533,248.840,407.557
6,38.743,223.565,107.316,52.865,174.790,151.991,52.824,152.812,158.487,38.823,123.038,165.489,58.034,254.377,297.624,68.945,275.945,282.323,54.737,309.668,165.687,56.773,222.085,377.031,53.748,247.721,368.497,58.290,288.249,342.145,51.183,343.404,366.476,54.026,343.727,307.968,72.328,372.309,334.208,44.576,358.851,189.150,86.884,363.156,258.012,141.102,394.317,252.913,55.507,210.991,194.142,45.136,260.079,136.562,44.279,149.374,193.528,47.106,136.968,224.932,44.257,306.608,120.887,43.171,320.778,132.338,38.897,363.076,130.115,40.548,373.807,112.154,33.887,428.351,148.181,46.394,461.393,250.013,69.616,385.522,283.958,70.423,364.927,285.920,46.091,309.431,435.158,39.734,297.884,399.429,43.260,311.471,380.690,61.916,253.865,246.658,96.301,274.106,238.701,90.881,309.650,246.990,49.916,279.619,152.560,42.964,209.328,124.568,42.115,436.722,115.845,92.649,322.630,208.435,63.412,385.235,301.721,50.203,384.622,317.200,34.177,394.713,436.630,94.413,312.332,202.990,76.113,309.527,179.358,50.250,285.657,393.655,53.721,348.893,324.628,60.672,343.079,344.450,35.042,254.281,475.035,31.365,405.455,411.423,51.643,346.021,333.791,49.623,301.688,320.905,57.356,282.293,328.992,37.474,248.103,407.206
7,39.314,222.940,106.878,52.856,174.470,151.798,53.478,152.873,158.710,42.266,123.075,165.115,67.217,254.509,297.997,59.322,275.347,281.707,62.635,309.320,165.560,54.210,222.712,376.861,62.649,248.143,369.176,60.602,288.926,342.214,51.870,343.057,366.325,66.000,343.835,307.547,60.870,372.761,333.917,48.887,358.687,190.135,94.523,361.828,257.612,145.361,394.381,252.686,52.772,210.847,194.048,45.542,259.918,136.911,37.147,148.812,194.324,44.788,136.855,224.964,41.912,306.757,121.310,49.764,321.011,132.848,37.583,363.149,130.003,34.809,373.083,112.408,32.913,428.521,148.455,38.212,461.933,250.484,69.656,385.255,284.658,62.182,364.594,285.188,40.720,310.004,435.845,45.597,298.401,399.615,42.959,312.011,380.521,67.181,253.171,247.286,78.578,274.763,238.996,93.486,309.520,247.188,50.658,278.974,152.008,46.295,208.841,124.604,42.804,436.531,115.938,97.574,322.762,207.945,65.866,385.318,301.883,50.586,385.259,317.289,33.427,394.401,436.780,90.462,311.979,202.836,73.237,309.063,179.035,50.962,285.099,393.975,53.103,349.358,325.101,64.062,342.384,344.067,37.470,253.694,475.110,40.400,405.337,411.613,57.841,346.582,333.768,56.582,301.644,320.365,57.322,282.454,329.095,40.197,248.758,407.346
8,41.886,223.818,107.059,46.077,174.288,152.324,47.846,153.038,158.842,45.145,123.124,165.374,58.952,254.531,297.520,55.938,275.642,282.334,57.029,309.788,165.899,55.131,222.211,376.903,58.980,247.170,368.344,63.960,289.119,342.462,65.400,343.428,366.303,69.896,343.613,307.630,52.842,372.042,333.380,43.706,358.584,189.536,78.314,361.905,258.082,163.934,394.187,252.640,58.324,211.161,193.433,41.154,259.341,136.731,36.853,148.879,193.793,44.269,136.787,224.541,38.618,307.013,121.117,45.821,320.942,132.992,37.314,362.846,130.389,41.774,373.636,111.864,31.391,428.509,148.534,45.183,461.630,250.218,68.397,385.667,284.010,72.533,364.508,285.581,41.604,310.184,435.478,48.492,298.082,398.670,43.678,312.019,380.196,57.181,253.620,246.933,88.825,274.740,238.881,91.130,309.313,246.781,57.626,279.577,152.347,52.572,209.489,124.842,42.500,436.060,116.065,92.622,322.852,207.981,64.769,384.785,301.551,47.331,383.722,317.181,33.645,394.232,436.785,91.288,311.844,203.064,83.443,309.692,179.613,52.077,285.778,393.681,57.750,349.275,324.899,68.943,342.526,345.052,32.030,254.208,475.435,37.652,405.362,411.330,46.357,346.136,333.552,48.767,301.830,320.546,63.897,282.142,328.800,53.197,248.982,407.036
9,36.271,223.376,106.643,51.625,174.572,151.716,51.544,152.907,158.973,41.403,122.884,165.600,59.903,254.987,297.400,58.384,275.015,282.010,49.058,309.247,166.168,48.364,222.139,377.366,55.099,247.506,368.434,69.932,288.918,342.446,54.104,343.460,366.240,66.043,343.774,307.452,65.107,372.167,333.587,45.932,358.924,190.378,91.174,362.567,258.047,142.114,394.121,252.732,58.522,211.128,193.647,43.659,259.796,136.666,29.581,148.936,194.035,46.856,136.771,224.792,39.272,307.477,121.021,50.593,321.228,132.316,33.872,362.916,129.940,47.574,373.227,112.190,37.496,428.278,148.555,43.462,461.602,250.100,66.503,385.399,284.076,60.679,364.273,285.290,40.988,309.495,435.466,41.532,297.672,399.454,41.000,312.137,380.693,56.867,253.685,246.641,91.000,274.586,238.811,92.667,309.386,246.695,57.368,278.849,152.468,48.404,209.055,124.699,47.932,436.257,115.454,83.088,322.214,208.437,56.382,385.867,301.797,42.624,384.361,317.359,32.355,394.503,437.097,80.923,311.824,202.873,79.567,309.209,178.817,47.933,285.087,394.030,58.206,349.030,325.041,67.073,343.176,344.261,32.157,254.132,475.399,33.557,405.751,411.566,58.714,345.342,333.852,50.342,301.322,321.024,52.740,282.278,329.262,44.759,248.412,406.650
10,36.257,223.602,107.255,50.394,174.262,152.067,49.375,152.739,159.362,46.202,122.813,165.365,64.657,254.353,298.260,71.192,276.045,281.921,55.547,309.658,165.718,54.142,221.625,377.327,47.126,247.029,368.327,57.517,288.969,342.299,51.635,343.175,366.804,84.887,343.682,307.723,65.339,372.234,333.873,45.520,358.792,189.927,80.244,362.367,258.004,166.904,393.957,252.724,61.213,211.566,194.273,42.140,259.529,136.518,37.235,149.660,194.110,45.038,136.023,225.499,39.000,306.960,121.003,41.586,320.797,132.439,39.808,362.745,129.959,37.617,373.361,112.561,34.600,428.195,148.364,34.635,461.871,250.317,68.603,385.514,284.232,80.832,364.285,285.212,41.134,309.973,435.317,40.758,298.037,399.778,45.274,311.462,380.272,60.753,253.818,247.350,77.506,274.286,238.992,83.379,309.460,247.031,53.005,279.016,152.705,51.494,208.463,124.875,43.899,436.685,116.121,87.027,323.290,208.000,70.718,385.521,301.760,49.767,384.993,317.211,37.097,394.523,436.891,86.423,311.379,203.330,84.732,309.375,179.112,53.731,285.470,393.816,56.368,349.184,325.155,60.375,343.188,344.533,33.681,253.739,475.152,30.609,405.584,411.470,59.921,346.857,333.523,44.493,301.521,321.438,50.144,282.396,329.634,42.978,249.018,407.008
