 ,Mean1,XM1,YM1
1,-3501.286,223.499,107.001
2,-3504.572,223.500,107.001
3,-3505.229,223.499,106.999
4,-3505.000,223.500,106.998
5,-3504.900,223.500,107.001
6,-3503.286,223.499,107.001
7,-3505.928,223.500,107.001
8,-3505.400,223.501,107.000
9,-3506.014,223.500,107.000
10,-3504.029,223.500,107.000
11,-3505.057,223.500,107.000
12,-3502.757,223.499,107.000
13,-3504.200,223.501,107.001
14,-3505.243,223.499,107.002
15,-3505.286,223.500,107.001
16,-3504.886,223.500,106.999
17,-3504.171,223.501,106.999
18,-3505.214,223.500,107.000
19,-3505.428,223.500,107.001
20,-3506.072,223.500,107.001
21,-3506.914,223.500,107.000
22,-3506.214,223.500,107.000
23,-3504.657,223.500,107.001
24,-3502.486,223.500,107.000
25,-3504.514,223.500,107.000
26,-3506.243,223.500,107.001
27,-3507.329,223.498,106.999
28,-3506.529,223.500,106.999
29,-3503.057,223.499,107.001
30,-3505.229,223.499,107.000
31,-3503.586,223.499,107.001
32,-3505.771,223.501,107.001
33,-3505.643,223.501,107.001
34,-3506.700,223.500,106.999
35,-3505.500,223.500,106.999
36,-3504.386,223.500,107.000
37,-3505.800,223.500,107.001
38,-3507.629,223.501,107.001
39,-3506.957,223.499,107.000
40,-3506.657,223.500,107.000
41,-3504.271,223.498,107.000
42,-3504.357,223.500,107.000
43,-3503.886,223.500,107.001
44,-3506.343,223.500,107.001
45,-3508.771,223.501,107.001
46,-3506.271,223.501,106.999
47,-3505.586,223.500,107.000
48,-3505.729,223.499,107.001
49,-3505.186,223.499,107.001
50,-3507.714,223.499,107.000
51,-3507.943,223.500,107.000
52,-3505.400,223.500,106.999
53,-3505.357,223.501,107.000
54,-3505.300,223.500,106.999
55,-3504.371,223.499,107.000
56,-3506.057,223.500,107.002
57,-3507.786,223.500,106.999
58,-3505.471,223.500,106.999
59,-3503.643,223.499,107.000
60,-3504.871,223.500,107.000
61,-3504.271,223.498,107.001
62,-3505.514,223.500,107.001
63,-3508.729,223.500,107.000
64,-3505.614,223.500,107.000
65,-3506.943,223.501,107.000
66,-3505.743,223.500,106.999
67,-3504.943,223.499,107.000
68,-3507.343,223.500,107.000
69,-3507.814,223.500,107.000
70,-3503.700,223.500,106.999
71,-3503.943,223.500,107.000
72,-3506.186,223.500,107.000
73,-3504.757,223.499,107.000
74,-3506.457,223.500,107.001
