 ,Mean1,XM1,YM1
1,-3502.871,223.499,106.998
2,-3506.314,223.500,107.000
3,-3504.000,223.500,107.000
4,-3507.743,223.500,107.000
5,-3505.200,223.499,107.000
6,-3505.643,223.500,107.000
7,-3504.114,223.500,107.000
8,-3505.671,223.500,107.001
9,-3506.072,223.500,107.000
10,-3507.428,223.500,107.000
11,-3505.629,223.500,107.000
12,-3506.286,223.500,106.998
13,-3504.043,223.501,107.000
14,-3503.943,223.500,107.000
15,-3505.671,223.500,107.001
16,-3506.014,223.500,107.001
17,-3505.786,223.499,107.000
18,-3504.043,223.501,106.999
19,-3505.657,223.500,107.001
20,-3504.271,223.500,107.000
21,-3505.986,223.500,107.001
22,-3509.886,223.501,107.001
23,-3506.000,223.500,107.000
24,-3506.343,223.500,107.000
25,-3504.529,223.499,107.000
26,-3505.114,223.501,107.001
27,-3506.900,223.501,107.000
28,-3508.043,223.500,106.999
29,-3506.157,223.500,106.999
30,-3505.671,223.500,107.000
31,-3505.357,223.500,107.000
32,-3505.943,223.500,107.001
33,-3506.486,223.501,107.001
34,-3506.671,223.501,107.000
35,-3506.400,223.500,107.000
36,-3505.343,223.500,107.000
37,-3505.072,223.499,106.999
38,-3505.443,223.500,107.001
39,-3506.657,223.500,107.000
40,-3506.657,223.500,107.000
41,-3507.143,223.500,106.999
42,-3505.729,223.500,106.999
43,-3503.043,223.501,107.000
44,-3506.171,223.500,107.000
45,-3506.357,223.500,107.001
46,-3506.814,223.501,107.000
47,-3505.529,223.499,106.999
48,-3504.957,223.500,107.000
49,-3504.943,223.500,106.999
50,-3506.700,223.500,107.000
51,-3505.428,223.501,107.001
52,-3507.414,223.500,106.999
53,-3504.271,223.500,106.999
54,-3505.471,223.501,107.000
55,-3504.357,223.500,106.999
56,-3504.743,223.501,106.999
57,-3506.543,223.501,107.000
58,-3508.714,223.500,106.999
59,-3506.114,223.500,107.000
60,-3504.400,223.499,106.999
61,-3504.557,223.500,106.998
62,-3504.729,223.499,107.000
63,-3505.400,223.499,107.001
64,-3508.286,223.503,107.000
65,-3506.286,223.500,106.999
66,-3505.900,223.500,107.001
67,-3505.529,223.501,107.000
68,-3505.000,223.499,107.001
69,-3507.129,223.500,107.000
70,-3508.271,223.501,107.000
71,-3507.286,223.499,106.999
72,-3508.114,223.500,106.999
73,-3507.143,223.499,106.999
74,-3504.014,223.500,107.000
75,-3507.386,223.499,107.000
76,-3507.957,223.501,106.999
77,-3505.414,223.500,107.000
78,-3505.714,223.500,107.000
79,-3503.586,223.500,107.000
80,-3505.600,223.500,107.000
81,-3507.414,223.501,107.001
82,-3508.186,223.502,107.000
83,-3027.786,223.501,106.983
84,39.771,223.496,107.152
85,47.129,223.532,107.033
86,31.257,223.514,107.021
87,31.086,223.503,107.018
88,33.129,223.622,106.903
89,33.100,223.571,107.065
90,32.900,223.504,106.903
91,31.400,223.393,106.941
92,33.586,223.536,107.027
93,32.814,223.463,107.011
94,33.343,223.509,106.973
95,33.157,223.537,106.967
96,32.843,223.564,106.956
97,32.629,223.509,106.965
98,33.443,223.597,106.981
99,31.414,223.438,106.919
100,33.871,223.624,106.942
101,33.786,223.363,106.958
102,33.386,223.425,107.022
103,32.600,223.393,107.068
104,32.557,223.428,107.047
105,33.743,223.548,107.015
106,31.686,223.457,106.979
107,33.414,223.508,107.042
108,34.071,223.430,107.163
109,34.829,223.573,106.938
110,33.714,223.371,107.075
111,32.586,223.469,106.949
112,34.143,223.526,106.967
113,33.657,223.561,107.078
114,33.457,223.420,106.990
115,32.900,223.480,107.038
116,34.257,223.502,106.992
117,34.186,223.530,107.034
118,32.957,223.565,107.041
119,33.386,223.553,107.011
120,32.100,223.330,106.978
121,34.114,223.425,106.918
122,33.300,223.473,106.927
123,31.471,223.472,106.998
124,34.743,223.468,106.993
125,32.657,223.566,106.991
126,33.771,223.559,106.999
127,32.871,223.470,107.018
