 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,39.586,222.959,107.336,42.173,174.246,152.215,51.125,153.441,158.849,48.395,122.763,165.374,48.812,254.611,297.810,62.603,275.766,281.618,44.599,309.599,165.362,63.165,221.893,376.239,56.563,248.104,368.584,51.114,289.401,341.959,72.478,343.160,366.336,53.278,343.223,307.368,56.853,372.240,333.572,65.435,358.503,189.697,83.035,362.018,257.965,77.476,395.599,253.233,56.507,210.866,193.714,48.336,260.424,136.141,46.228,149.070,194.024,61.010,136.768,224.836,38.419,306.750,121.031,41.814,321.015,132.645,37.987,362.961,130.771,32.800,373.550,112.643,46.243,428.680,148.478,77.375,462.095,250.098,77.954,384.952,284.361,81.876,364.210,285.323,45.537,310.664,435.511,53.508,297.913,399.327,44.014,312.120,380.065,49.548,252.942,246.819,77.795,274.272,238.935,81.774,309.482,247.203,51.642,279.097,152.554,41.193,209.558,124.762,35.203,436.938,116.098,82.750,323.155,208.029,62.185,385.360,301.386,51.143,385.119,317.361,39.016,394.839,436.870,81.721,311.622,202.748,75.175,309.155,178.964,43.673,285.676,393.927,45.338,349.182,324.683,58.328,342.969,344.573,38.512,253.893,475.008,37.070,405.328,411.564,57.476,346.027,333.640,54.856,301.496,321.053,64.164,282.489,329.233,42.190,248.805,408.094
2,38.271,223.845,107.431,49.067,174.796,152.199,40.162,152.849,158.700,47.968,122.662,165.552,58.937,254.262,297.709,63.534,275.614,281.884,59.964,309.224,166.158,52.915,222.014,377.152,60.808,247.322,368.811,60.568,288.974,341.925,63.026,343.121,367.714,60.035,342.929,307.471,56.209,372.184,334.423,59.684,358.520,189.684,93.988,362.483,257.923,75.175,395.911,253.569,60.132,211.069,193.876,48.285,259.488,136.383,43.824,148.587,193.795,40.673,136.227,224.806,36.838,307.220,121.302,48.357,321.611,132.998,40.737,362.931,129.748,31.226,373.535,112.571,36.974,428.617,148.438,35.317,461.695,250.664,71.093,385.269,284.229,63.577,364.412,285.565,45.622,310.258,435.330,42.000,298.082,399.094,44.726,312.249,380.398,62.247,253.252,246.867,80.904,274.667,238.869,85.299,310.001,246.599,47.811,279.286,152.886,47.386,209.916,124.883,33.541,437.049,116.195,87.574,323.267,208.251,74.542,385.241,301.943,54.038,383.916,317.376,33.782,394.508,436.768,93.058,311.758,203.205,70.784,309.208,180.436,43.240,285.174,394.191,44.978,349.028,325.540,60.120,343.231,344.724,36.801,253.658,475.112,38.122,405.421,411.225,54.984,345.777,333.831,47.781,301.707,321.106,61.603,282.579,329.278,42.073,247.849,407.431
3,44.914,223.397,107.230,47.615,174.535,152.342,49.721,152.763,158.925,37.403,122.706,165.495,66.193,255.055,298.044,66.555,275.997,282.104,79.168,309.286,166.791,50.932,221.541,376.885,81.483,248.165,369.146,70.312,288.915,342.161,55.461,343.574,365.822,94.061,343.294,307.509,53.124,372.577,333.874,53.802,358.771,190.120,79.733,362.829,258.128,103.042,394.845,253.837,56.537,210.845,193.929,47.154,260.254,136.919,42.279,149.428,193.350,46.856,136.395,225.179,34.191,306.968,120.857,47.893,320.568,132.891,36.814,363.103,129.778,36.870,373.288,112.551,37.470,428.270,148.228,44.106,462.206,250.371,68.987,385.417,284.490,68.336,364.610,285.792,47.713,310.077,435.341,51.419,297.595,399.932,50.733,312.117,379.961,59.837,253.777,246.916,71.355,273.966,238.651,93.994,309.213,246.979,47.884,279.407,152.757,48.428,208.869,124.799,34.649,436.568,115.843,96.682,323.299,208.851,86.945,385.383,302.042,53.444,385.365,317.608,36.444,394.351,437.235,73.644,312.043,202.700,74.464,309.582,179.768,42.442,285.057,393.911,49.103,349.261,325.498,60.651,342.964,344.985,38.645,253.895,475.542,38.843,405.391,411.186,55.540,345.839,333.293,54.349,300.989,321.362,58.199,282.656,328.667,43.985,248.611,407.043
4,39.400,223.855,107.662,48.462,174.557,151.783,52.728,152.498,159.348,42.766,123.395,165.862,73.483,254.607,297.770,65.185,275.700,281.789,90.051,309.540,166.509,48.653,222.417,376.869,83.212,247.892,369.328,49.898,289.341,341.911,58.583,343.577,366.766,103.391,342.994,307.872,62.040,372.147,333.727,67.876,358.252,189.499,75.233,362.563,258.298,92.283,394.483,253.506,62.169,210.655,194.007,46.967,260.391,136.712,41.426,149.013,193.917,41.644,136.584,224.913,45.059,306.800,120.500,48.821,320.952,131.758,35.904,363.024,129.692,39.974,373.460,112.700,45.826,428.072,148.109,36.894,462.002,250.177,63.841,385.289,284.758,75.657,364.540,285.337,39.043,309.272,435.719,47.927,298.215,399.569,44.651,312.200,380.359,56.247,253.373,246.908,76.916,273.925,239.391,96.842,309.934,246.743,53.995,279.218,152.219,46.404,209.277,124.976,36.541,436.864,115.968,93.277,323.242,209.374,94.908,385.316,301.834,55.000,384.490,317.595,34.677,394.398,436.814,73.538,311.744,202.823,74.052,309.165,179.809,47.615,285.609,394.137,57.537,349.241,325.191,63.932,343.025,344.660,39.361,253.920,475.158,36.678,405.533,411.528,56.294,346.620,333.354,63.295,301.664,321.442,55.130,282.367,328.287,46.380,248.431,407.462
5,48.186,223.643,107.296,46.471,174.693,151.562,41.912,152.708,158.884,49.976,123.370,165.228,87.145,254.851,297.800,67.521,275.686,281.776,88.876,309.024,166.303,54.312,221.699,376.985,67.470,248.010,369.372,57.682,289.408,341.564,63.852,343.606,366.356,113.070,343.012,307.823,50.808,372.381,333.667,59.113,358.813,189.358,76.116,362.634,258.290,87.361,393.965,253.261,60.750,211.275,194.133,52.827,260.409,136.761,39.699,149.162,193.838,47.000,136.444,224.511,46.294,306.827,121.628,47.300,320.598,132.201,37.519,363.288,129.665,40.357,373.801,112.254,43.183,428.667,148.374,42.163,461.978,250.065,54.642,385.493,284.263,79.241,364.355,284.777,45.982,310.006,435.584,41.315,297.594,399.282,45.589,311.956,380.945,65.747,252.846,246.640,84.494,275.206,238.705,96.627,309.939,247.244,51.411,278.659,153.074,50.410,209.420,124.920,36.723,436.825,116.042,91.034,322.851,208.477,83.723,385.311,301.861,53.910,384.106,317.142,34.234,394.346,436.789,67.875,312.443,202.579,66.907,309.223,179.725,49.904,285.795,394.211,46.772,348.857,325.196,56.349,342.824,344.151,39.090,253.934,475.632,34.217,405.500,411.356,53.429,346.513,333.331,56.370,300.969,320.861,47.295,282.675,328.494,50.314,248.594,407.125
6,40.300,223.499,107.126,57.250,174.635,152.311,47.625,152.372,158.999,45.927,123.432,165.556,68.894,254.844,297.931,85.740,275.704,282.374,77.453,309.030,166.482,54.233,221.750,377.314,77.828,247.767,369.088,62.085,289.442,342.338,65.861,343.311,365.547,79.426,343.410,307.946,55.203,372.365,333.629,62.000,358.566,189.131,93.174,362.131,257.765,84.518,394.661,253.735,46.632,211.224,193.404,50.215,259.946,136.625,40.265,148.973,193.491,49.173,136.365,224.770,37.331,307.180,120.686,52.857,320.559,131.568,34.782,362.875,130.066,37.009,373.346,112.371,39.200,428.361,148.258,38.317,461.951,250.474,53.603,385.526,284.534,79.672,364.798,284.832,44.976,309.587,435.410,52.508,297.734,399.631,49.199,312.082,380.491,73.759,253.879,246.775,76.964,274.422,238.823,97.785,309.710,246.772,52.305,279.032,153.031,48.886,209.657,124.857,34.122,437.000,115.984,87.318,322.522,208.120,91.303,385.101,301.958,49.338,384.561,317.402,31.339,394.390,437.181,76.817,312.322,202.582,80.742,309.449,179.965,51.731,285.434,394.027,56.765,349.321,324.978,65.490,343.053,344.854,39.590,253.887,474.462,36.896,405.571,411.381,57.310,345.842,333.542,52.438,301.522,320.784,61.596,282.312,328.797,44.796,248.583,407.440
7,34.914,223.761,107.136,51.596,174.549,151.939,44.419,152.940,159.325,44.766,123.046,165.187,74.097,254.751,297.338,61.959,275.983,281.970,82.898,309.357,165.852,56.761,221.970,377.036,83.834,248.528,368.943,57.648,288.974,342.263,70.878,343.274,366.048,77.383,343.314,308.019,55.073,372.080,333.725,58.938,358.358,189.301,80.907,362.137,257.921,91.723,394.477,253.767,50.213,211.391,193.889,47.014,259.756,136.636,42.353,149.183,193.831,54.442,136.813,225.072,43.926,306.551,121.100,46.736,320.855,132.947,36.667,363.532,130.487,33.583,373.632,112.365,36.835,428.347,148.320,38.683,461.873,250.361,66.503,385.343,284.043,73.131,364.721,285.346,45.049,309.887,435.203,48.121,297.516,399.823,44.178,312.339,380.686,78.765,253.396,246.822,76.783,274.616,239.076,107.209,309.511,246.553,55.974,279.343,152.967,52.572,209.544,124.812,33.831,436.892,116.159,96.905,322.883,208.455,90.584,385.392,302.169,44.579,384.346,316.867,38.927,394.415,436.713,72.923,311.890,203.383,70.402,309.371,179.665,43.404,285.798,393.706,55.772,348.907,324.794,66.333,342.801,344.516,39.958,253.650,475.014,36.009,405.186,411.287,61.190,345.693,333.507,52.473,301.386,321.221,51.219,282.443,329.486,45.613,248.494,407.331
8,49.143,223.436,107.505,37.865,174.414,152.029,49.346,152.248,159.035,38.685,123.277,165.387,74.599,254.689,297.525,69.281,275.992,281.744,79.182,309.366,165.695,60.915,222.181,377.217,92.212,248.061,369.484,59.023,288.716,341.877,63.009,343.091,366.532,89.409,343.186,307.836,58.554,372.308,334.012,58.808,358.450,189.184,92.326,362.574,258.036,93.566,394.501,253.593,64.478,210.834,193.992,48.248,260.421,136.732,37.096,149.206,194.114,46.923,136.522,225.316,37.375,307.107,121.357,41.593,320.895,132.141,33.917,363.235,129.545,37.643,373.677,112.291,40.635,428.088,148.373,42.933,461.973,250.508,61.815,385.345,284.875,66.985,365.036,284.628,45.622,310.310,435.296,48.242,297.937,399.611,46.473,311.534,380.774,61.741,254.262,247.335,69.747,274.197,239.025,87.079,309.256,246.565,39.432,278.855,152.483,42.313,209.465,124.580,39.209,436.780,115.894,91.595,322.868,208.261,89.891,385.465,301.929,52.331,384.173,317.284,36.935,394.186,437.170,69.433,312.145,203.182,56.907,309.416,179.518,50.356,285.647,394.574,49.397,349.107,324.905,64.089,343.018,344.784,39.861,254.080,475.282,35.974,405.242,410.980,46.198,345.343,333.193,59.356,301.577,321.172,56.774,282.951,329.047,55.431,248.556,407.270
9,41.971,223.945,107.328,44.558,174.384,151.813,48.949,152.840,158.788,43.710,123.269,165.387,66.333,254.935,297.806,69.658,275.537,281.057,83.000,309.105,166.237,59.085,221.727,376.567,82.894,248.233,368.901,62.608,289.348,342.360,67.826,343.489,365.932,90.583,343.312,307.747,53.723,371.856,333.646,68.904,358.688,189.783,89.314,362.599,257.949,79.349,394.513,253.251,56.721,211.297,194.108,51.953,260.114,136.415,37.632,149.302,194.549,47.423,136.928,224.916,37.360,306.769,120.826,52.729,321.336,132.795,42.500,363.036,130.290,33.965,373.324,112.445,38.583,428.303,148.606,42.529,462.038,250.246,57.689,385.449,284.224,72.124,365.264,285.379,46.055,310.249,435.375,44.065,297.782,399.148,48.726,312.337,380.693,70.518,253.680,247.081,86.548,274.144,239.393,86.751,309.293,246.791,50.316,278.636,152.380,47.735,209.028,124.988,34.345,436.948,115.963,81.182,322.912,208.548,80.962,385.328,301.960,50.955,384.501,317.190,31.742,394.265,437.208,72.212,312.001,203.311,72.320,309.604,179.841,44.913,285.586,394.421,53.412,348.882,324.998,68.802,342.544,344.339,41.289,254.353,475.282,35.026,405.414,411.531,56.286,346.278,333.757,55.363,301.579,320.849,60.582,282.230,329.082,51.328,248.601,407.289
10,38.986,223.293,107.403,47.827,174.357,152.092,50.699,152.500,159.166,43.065,122.760,165.146,81.391,254.405,298.088,66.459,275.082,281.341,77.387,309.592,166.008,55.006,222.225,376.920,86.139,248.034,369.211,65.585,288.964,342.414,65.070,343.359,366.476,98.348,342.945,307.820,58.379,372.331,333.286,57.452,358.690,189.841,78.477,362.068,257.998,91.602,394.095,253.428,60.066,211.821,193.881,52.234,259.958,136.583,39.375,149.273,193.877,61.981,136.616,224.432,39.397,307.134,121.313,48.121,320.869,132.208,45.051,363.138,130.025,37.591,373.405,112.154,35.913,428.408,148.588,41.942,461.835,250.438,62.781,385.258,284.436,83.350,364.431,285.879,43.250,310.784,435.537,52.903,298.090,399.359,43.795,312.276,380.504,62.596,253.826,247.037,76.970,275.361,238.631,89.056,309.398,246.178,48.726,278.926,152.433,53.307,209.251,124.971,39.642,436.472,115.904,89.480,322.833,209.040,85.929,385.383,301.699,38.594,384.723,317.251,31.597,394.466,436.967,79.788,311.830,203.286,82.598,309.781,179.726,43.096,285.644,393.875,51.243,348.887,325.069,74.385,343.165,344.660,41.133,253.515,475.200,35.391,405.522,411.472,53.508,346.123,333.414,49.692,301.213,321.713,59.856,282.536,328.601,62.453,248.362,407.443
