 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,41.843,223.546,107.289,61.154,174.783,152.614,63.824,153.326,159.141,59.339,122.836,165.523,55.981,254.330,297.165,62.747,275.412,282.129,47.307,309.257,165.707,100.301,221.355,376.821,54.781,247.453,368.726,69.148,288.307,341.975,67.409,343.335,366.201,73.104,343.858,307.835,71.847,372.623,333.592,83.068,358.218,190.110,87.291,362.679,257.932,98.584,395.010,252.945,82.765,211.237,194.582,51.140,260.124,136.585,55.978,149.027,194.128,81.952,136.676,224.774,46.235,307.138,121.013,50.800,320.971,132.329,42.846,362.899,130.136,39.739,373.265,112.557,55.487,428.150,148.699,111.269,461.940,250.469,73.775,385.604,283.721,101.029,364.447,285.483,53.268,310.439,435.649,39.242,297.949,399.675,66.849,312.147,379.852,68.759,253.243,247.318,74.807,274.312,239.196,99.927,309.642,247.085,42.937,279.204,152.490,51.114,209.599,125.052,39.986,436.864,115.804,130.162,323.475,207.898,67.761,385.533,301.906,80.150,384.816,317.459,39.169,394.802,436.723,106.288,312.509,202.487,71.124,309.399,179.314,58.298,285.203,393.076,57.699,348.962,324.923,67.651,342.952,345.058,37.596,254.176,475.468,42.461,405.667,411.257,56.762,346.292,333.555,66.925,302.040,321.064,54.425,282.190,329.140,43.701,248.535,407.063
2,40.357,223.649,107.170,72.096,173.954,152.651,52.919,151.915,158.285,48.952,123.337,165.393,57.411,254.288,297.859,83.897,275.046,281.538,86.292,309.052,165.534,63.875,221.892,377.128,65.603,247.853,368.624,64.722,288.740,342.861,60.783,343.451,366.561,96.330,343.670,307.510,65.503,371.710,333.903,44.960,358.767,190.214,92.047,362.538,258.241,132.584,395.817,253.179,72.757,211.287,193.662,47.164,259.754,136.711,68.081,149.081,193.618,70.529,135.890,225.161,48.110,307.339,121.389,48.371,321.139,132.680,43.038,362.510,130.107,40.357,373.711,112.662,37.270,428.128,148.730,40.471,461.662,250.445,76.881,385.404,284.202,74.314,364.354,285.811,50.439,309.981,435.521,45.105,298.041,399.209,53.890,311.912,380.772,80.452,253.451,247.405,88.066,274.458,239.611,122.288,309.772,246.805,57.484,278.827,151.872,56.892,210.655,125.187,37.568,436.897,116.724,90.797,323.107,207.816,62.714,385.679,301.696,55.030,384.791,317.213,31.694,394.477,436.982,97.221,311.911,202.501,79.577,309.605,179.508,47.010,285.582,394.790,62.471,349.648,325.210,71.865,342.701,344.359,43.253,253.808,474.730,36.852,405.558,411.569,73.183,346.150,333.800,59.192,301.233,320.913,61.075,282.484,329.337,45.117,248.147,407.532
3,61.586,223.670,106.918,114.971,174.654,152.440,58.618,152.664,159.005,47.298,122.941,165.150,59.280,254.933,297.536,139.110,276.091,281.589,91.153,309.238,166.501,88.341,221.724,377.356,91.358,248.449,369.135,60.705,288.903,342.296,77.026,343.718,366.229,100.817,343.594,307.900,66.525,372.173,334.141,48.627,357.977,190.151,95.419,362.667,257.732,191.873,394.970,252.972,67.632,211.019,193.712,51.799,260.421,136.758,54.919,149.196,193.952,63.817,135.926,224.967,45.559,307.264,121.265,48.121,320.699,132.451,46.397,362.415,129.837,37.635,373.513,112.781,40.739,428.272,148.784,50.885,462.179,249.747,75.225,385.673,284.314,80.066,364.396,285.344,46.579,310.568,435.273,54.387,297.661,399.743,48.342,311.779,380.193,80.946,253.689,247.159,71.337,274.760,238.655,119.463,309.916,246.849,47.474,278.674,152.807,43.608,209.357,124.966,36.250,436.886,116.030,114.128,323.186,208.034,67.361,385.387,301.688,56.338,384.162,317.487,35.379,394.742,436.788,89.385,311.804,202.933,88.196,309.359,179.311,53.087,285.253,393.861,59.353,349.165,325.116,77.219,342.363,344.569,43.157,254.210,475.605,36.409,405.365,411.438,63.952,346.329,333.742,65.856,301.714,321.360,54.432,282.649,329.479,49.978,248.311,407.249
4,53.886,223.445,107.645,92.567,174.316,152.204,46.507,152.256,158.773,46.710,123.078,165.302,57.966,254.887,297.799,128.788,275.671,281.873,106.993,309.598,166.009,103.449,221.970,377.362,93.159,247.446,368.978,66.710,289.339,342.253,75.843,343.666,366.182,117.139,343.653,308.153,70.599,371.955,333.959,48.701,359.090,189.652,103.698,362.666,258.157,195.506,394.825,252.995,74.544,210.947,193.580,43.234,259.878,136.693,50.294,149.024,193.347,64.846,135.964,224.521,45.603,307.052,121.245,48.914,320.637,132.475,42.782,362.869,129.963,39.191,373.288,112.497,37.887,428.366,148.530,46.712,461.827,250.158,70.795,385.245,284.243,83.109,364.550,284.960,58.780,310.552,435.403,39.613,297.943,399.492,51.692,311.736,380.257,75.813,253.737,247.218,100.584,274.476,238.908,129.627,309.486,246.774,52.621,278.586,152.783,49.645,209.443,125.447,35.716,436.863,116.002,100.385,322.446,208.883,77.332,385.301,302.374,57.429,383.763,317.452,36.637,394.635,437.023,98.481,311.562,203.022,74.938,309.994,179.865,60.423,285.400,394.229,56.434,348.984,324.704,76.464,343.027,344.441,41.343,254.152,474.854,36.757,405.593,411.839,59.587,346.068,333.782,43.459,301.435,320.951,62.548,282.800,328.681,59.591,248.610,407.717
5,67.486,223.909,107.586,108.375,174.373,152.798,63.949,152.068,158.863,41.855,122.896,165.529,61.193,254.632,297.999,139.993,275.272,281.981,91.380,309.277,166.094,102.011,221.910,376.844,79.126,247.445,369.012,72.091,289.024,342.461,90.565,343.346,366.561,97.200,343.726,307.624,76.684,372.193,333.730,53.774,358.655,189.994,106.384,362.539,258.211,179.367,394.765,252.726,71.441,211.260,193.670,51.028,259.750,136.820,47.206,149.079,194.138,72.779,136.478,224.740,42.647,306.370,121.092,48.464,320.415,132.814,39.583,363.106,130.135,40.983,373.429,113.011,38.296,428.659,148.215,49.529,462.214,250.157,78.358,385.656,284.697,84.146,364.471,285.810,51.780,309.967,435.427,46.032,297.861,399.466,53.541,312.143,380.384,70.801,253.551,247.168,93.723,274.873,239.291,138.960,309.627,246.857,56.642,280.130,153.194,53.524,208.953,124.798,36.662,436.749,116.031,98.128,322.847,208.432,72.672,385.282,301.346,56.008,384.198,317.115,39.444,394.492,437.069,81.173,311.493,202.820,90.825,309.381,179.734,61.433,285.824,394.565,58.669,349.258,324.624,73.026,342.985,344.570,41.964,253.959,475.148,42.843,405.733,411.723,46.349,345.783,333.665,56.014,301.275,320.962,58.705,282.525,329.211,49.029,248.604,407.234
6,51.643,223.839,107.006,120.798,174.420,152.704,53.676,152.339,159.223,43.113,122.675,165.323,66.831,254.965,297.184,148.486,275.504,281.685,105.044,309.398,165.986,105.085,222.514,376.683,96.517,247.698,369.423,71.864,289.468,342.292,73.252,343.464,366.735,106.348,343.395,307.829,70.169,372.550,333.663,52.316,358.489,190.067,76.488,362.461,257.963,169.410,395.150,253.006,85.743,210.976,193.364,53.444,259.946,136.942,42.390,148.865,194.095,66.663,137.129,225.248,39.360,306.804,120.894,50.157,320.794,132.508,42.250,362.910,130.145,39.052,373.826,112.237,36.087,428.336,148.476,49.288,461.893,250.388,80.066,385.213,283.872,84.394,364.728,285.628,49.268,309.790,435.522,54.871,297.723,399.450,48.123,311.939,380.206,78.602,254.033,246.822,82.343,274.732,239.187,121.288,309.787,246.741,55.432,278.780,152.299,59.072,209.395,124.568,32.027,436.961,116.221,111.257,322.860,209.190,69.151,384.743,301.718,55.195,384.627,317.056,38.734,394.556,437.018,105.673,311.881,202.965,76.289,309.528,179.510,54.625,285.770,393.558,62.471,349.334,324.608,74.974,342.414,344.461,45.747,254.132,474.568,35.678,405.479,411.447,60.738,345.841,334.038,65.932,301.046,321.293,61.466,282.205,329.016,60.131,248.485,406.717
7,75.043,223.677,107.347,130.192,174.560,152.619,64.941,151.791,158.969,50.484,122.750,165.368,74.425,254.602,297.777,124.370,275.421,281.334,79.058,309.769,166.436,99.892,221.875,376.972,102.788,247.974,369.218,65.489,288.909,342.191,80.600,343.234,365.559,108.965,343.694,307.612,69.023,372.040,333.733,57.390,358.227,190.021,84.547,362.589,258.222,196.861,394.885,252.815,60.963,211.532,193.715,45.430,259.881,136.117,47.662,149.066,193.143,66.452,136.563,224.696,37.537,306.958,120.920,50.721,320.973,131.861,42.782,362.781,129.865,41.983,373.481,112.521,39.452,428.359,149.122,47.519,461.638,250.310,82.914,385.082,284.195,78.562,364.277,285.467,47.683,310.227,435.096,49.863,297.788,398.820,47.021,311.631,380.296,78.187,253.698,246.442,89.747,274.134,239.160,107.910,308.360,247.285,60.447,278.889,152.220,59.627,209.525,124.615,32.845,437.054,115.917,103.642,322.504,208.135,67.382,385.412,302.134,57.797,384.716,317.701,41.234,394.452,436.944,80.567,311.424,203.125,69.536,309.548,179.567,59.817,285.168,393.276,51.912,348.763,324.867,67.167,343.356,345.040,40.157,253.694,475.185,37.243,405.418,411.617,61.087,345.769,333.463,51.178,301.099,320.590,61.829,282.689,328.665,45.299,248.150,407.104
8,61.029,223.724,107.018,130.625,174.333,153.103,50.279,152.886,158.952,41.613,123.139,165.376,75.338,255.091,297.792,123.801,275.525,281.533,89.562,309.340,166.064,89.795,222.062,376.921,88.159,247.849,369.205,72.324,288.871,342.773,99.835,343.525,366.195,111.557,343.533,308.022,71.588,372.213,333.640,51.435,358.638,189.527,85.174,362.555,257.641,168.349,394.895,252.826,75.184,210.916,193.540,48.692,259.793,136.253,51.169,149.626,193.322,63.904,136.442,224.528,35.551,307.110,121.168,43.936,320.871,132.364,40.788,362.955,130.229,35.400,373.358,112.440,41.809,427.926,148.203,45.250,461.883,250.006,72.232,385.827,284.043,78.051,364.652,285.504,47.677,309.994,435.590,44.750,297.900,399.789,53.137,311.836,380.786,85.440,253.606,246.993,86.554,274.720,238.501,110.085,309.644,246.468,49.884,279.187,153.143,54.873,209.990,125.196,34.500,436.822,116.164,108.757,322.676,208.702,60.714,385.513,301.910,54.857,384.956,317.659,31.613,394.622,436.833,76.606,311.225,202.568,91.577,309.295,179.776,57.202,285.822,393.840,54.529,348.997,325.125,73.349,342.728,344.363,44.108,253.910,475.191,44.278,405.266,411.056,60.230,346.278,334.012,67.384,301.827,320.784,71.130,282.054,329.186,47.715,248.475,406.719
9,69.300,223.929,107.026,143.346,174.522,152.687,57.647,152.644,158.970,59.702,123.124,165.657,80.087,254.355,297.823,119.788,275.498,281.578,93.423,309.696,166.183,96.364,221.916,377.255,91.656,248.051,369.143,72.028,289.278,342.593,71.609,343.380,366.196,110.913,343.704,307.746,68.045,372.446,333.888,47.621,358.159,189.727,82.047,362.917,258.195,190.102,394.799,253.095,87.132,211.219,193.983,44.921,260.669,136.749,46.213,148.977,194.254,64.894,136.599,224.109,47.971,307.024,120.842,49.371,320.871,133.002,42.276,363.306,129.940,38.704,373.376,112.476,35.287,428.247,148.622,45.144,461.894,250.040,79.424,385.382,284.331,82.562,364.374,285.479,43.829,310.175,435.737,47.210,297.984,399.688,44.877,312.042,380.912,84.807,253.593,246.765,96.711,274.006,239.178,117.175,309.361,246.671,51.816,279.917,152.949,52.699,209.080,125.213,39.784,437.046,116.158,110.514,322.544,209.118,79.445,385.329,301.408,51.248,384.706,317.357,36.516,394.534,436.849,99.808,311.505,202.712,93.000,309.754,179.945,58.260,286.185,394.099,57.787,348.931,324.662,84.740,342.503,344.882,41.006,253.888,475.061,41.061,405.677,411.467,60.794,346.515,333.533,64.151,301.332,320.853,63.610,282.410,329.436,54.832,248.409,407.196
10,52.357,223.762,106.981,118.442,174.391,152.647,58.949,152.631,158.866,65.339,122.628,166.026,80.198,254.719,297.752,135.651,275.902,281.654,88.467,309.542,165.867,106.267,222.632,376.835,90.000,247.812,368.988,74.841,288.385,341.628,83.652,344.105,366.744,123.765,343.321,307.471,74.492,372.719,333.688,54.373,358.246,188.853,95.686,362.725,258.090,178.175,394.900,252.811,71.971,211.343,193.735,48.528,260.461,136.758,45.559,149.521,193.642,63.519,136.734,224.356,44.426,306.472,120.793,40.979,321.092,132.478,44.641,363.338,130.461,41.296,372.947,112.607,34.600,428.390,148.432,44.750,461.720,249.997,79.563,385.478,284.656,71.182,364.183,285.519,49.000,310.833,435.091,46.540,297.879,398.840,57.432,311.512,380.091,72.175,254.304,246.299,103.349,274.460,239.138,113.006,309.730,247.160,53.184,278.448,152.612,49.151,209.445,124.713,39.453,436.796,116.085,107.581,322.560,208.450,63.122,385.258,301.682,61.135,385.032,317.048,36.435,394.560,437.412,92.288,311.732,202.784,92.515,309.629,179.805,59.135,285.020,393.801,57.331,348.927,324.757,71.948,343.914,344.099,46.054,254.481,475.070,39.548,405.074,411.471,64.183,345.900,333.936,60.774,301.624,320.816,64.678,282.364,328.936,48.438,248.180,407.168
