 ,Mean1,XM1,YM1
1,-3505.300,223.500,106.999
2,-3506.229,223.500,106.999
3,-3507.214,223.499,107.000
4,-3504.443,223.500,106.999
5,-3506.400,223.500,107.000
6,-3507.329,223.500,107.001
7,-3507.957,223.501,107.000
8,-3509.057,223.499,107.000
9,-3506.471,223.500,107.000
10,-3505.500,223.499,107.000
11,-3507.614,223.500,107.001
12,-3507.171,223.500,107.002
13,-3508.700,223.501,107.000
14,-3508.086,223.500,106.999
15,-3506.443,223.501,107.000
16,-3505.757,223.500,106.999
17,-3506.314,223.500,107.001
18,-3508.457,223.500,107.001
19,-3508.043,223.500,106.999
20,-3506.971,223.500,106.999
21,-3505.629,223.500,106.999
22,-3506.800,223.499,107.000
23,-3507.243,223.500,107.000
24,-3508.586,223.500,107.001
25,-3510.471,223.501,107.000
26,-3507.857,223.499,106.999
27,-3506.357,223.501,107.000
28,-3505.400,223.501,107.001
29,-3507.386,223.500,107.001
30,-3507.943,223.501,107.000
31,-3508.986,223.499,107.000
32,-3508.543,223.499,106.998
33,-3505.971,223.500,107.000
34,-3505.100,223.501,107.000
35,-3506.600,223.500,107.000
36,-3507.657,223.500,107.001
37,-3509.400,223.500,106.999
38,-3508.000,223.501,106.999
39,-3506.557,223.501,106.999
40,-3506.771,223.500,107.000
41,-3508.471,223.499,107.002
42,-3509.629,223.501,107.000
43,-3508.700,223.500,107.000
44,-3508.014,223.500,106.999
45,-3508.414,223.500,106.999
46,-3506.428,223.500,107.001
47,-3506.300,223.500,107.001
48,-3508.229,223.500,107.000
49,-3507.614,223.502,107.000
50,-3508.243,223.500,106.999
51,-3508.143,223.501,106.999
52,-3506.114,223.499,107.001
53,-3506.529,223.500,107.002
54,-3508.786,223.500,107.001
55,-3508.171,223.500,107.000
56,-3507.500,223.500,107.000
57,-3507.214,223.500,106.999
58,-3506.243,223.500,107.000
59,-3506.743,223.500,107.000
60,-3509.214,223.500,107.001
61,-3508.986,223.500,106.999
62,-3509.214,223.499,107.000
63,-3506.757,223.501,107.000
64,-3506.443,223.500,107.000
65,-3507.286,223.500,107.001
66,-3507.971,223.500,107.001
67,-3509.014,223.501,107.000
68,-3507.814,223.500,107.001
69,-3506.486,223.501,106.999
70,-3505.657,223.499,107.000
71,-3508.572,223.500,107.001
72,-3508.300,223.500,107.001
73,-3508.586,223.500,107.000
74,-3507.443,223.500,107.000
75,-3505.343,223.499,107.000
76,-3507.100,223.501,107.001
77,-3507.100,223.501,107.001
78,-3508.714,223.501,107.000
79,-3507.657,223.500,107.000
80,-3508.357,223.501,106.999
81,-3506.428,223.500,107.000
82,-3505.700,223.500,107.000
83,-3505.200,223.499,107.001
84,-459.757,223.502,106.950
85,46.271,223.512,106.968
86,34.286,223.370,107.018
87,30.043,223.534,107.001
88,30.371,223.530,106.960
89,32.729,223.545,107.035
90,28.929,223.531,106.961
91,30.986,223.448,107.100
92,32.229,223.455,106.995
93,29.200,223.507,107.021
94,32.700,223.485,106.988
95,31.229,223.516,106.903
96,32.171,223.490,106.969
97,30.914,223.397,106.903
98,29.714,223.510,106.931
99,32.557,223.506,106.989
100,31.171,223.497,107.064
101,29.143,223.662,107.095
102,31.286,223.481,106.732
103,31.657,223.410,107.023
104,30.500,223.533,107.025
105,31.057,223.402,106.951
106,30.771,223.511,106.980
107,31.443,223.609,107.082
108,30.414,223.455,107.016
109,31.157,223.439,107.023
110,30.086,223.399,107.057
111,32.229,223.417,107.047
112,31.486,223.543,107.063
113,32.029,223.496,107.046
114,31.343,223.471,107.107
115,32.314,223.572,106.975
116,33.157,223.559,106.996
117,31.643,223.545,106.950
118,31.229,223.436,106.915
119,31.843,223.360,107.060
120,32.329,223.439,107.006
121,31.114,223.430,107.055
122,32.071,223.538,106.959
123,30.829,223.460,106.967
124,31.486,223.544,106.956
125,31.129,223.518,106.975
126,32.543,223.488,107.051
127,32.200,223.545,106.925
128,32.329,223.599,106.952
129,32.729,223.507,106.962
130,31.357,223.581,107.016
131,32.000,223.490,107.157
132,33.186,223.567,107.030
133,30.557,223.587,106.841
134,29.957,223.541,106.855
135,32.171,223.488,106.966
136,30.129,223.476,107.077
137,32.243,223.496,106.922
138,31.329,223.528,107.036
139,33.971,223.533,106.952
140,31.743,223.431,107.045
141,31.871,223.477,107.008
142,32.257,223.497,106.970
143,30.386,223.647,107.068
144,33.771,223.504,107.004
145,31.086,223.513,106.912
146,31.914,223.547,107.037
147,32.629,223.378,107.102
148,31.414,223.500,107.006
149,31.243,223.434,106.984
150,32.571,223.564,107.020
151,32.571,223.514,106.972
152,30.143,223.550,106.933
153,31.200,223.435,107.115
154,30.757,223.415,106.975
155,30.914,223.518,107.036
156,32.343,223.496,106.994
157,32.457,223.519,107.005
158,31.857,223.509,107.022
159,32.714,223.576,107.077
160,31.243,223.409,107.018
161,32.286,223.548,106.956
162,30.300,223.606,106.952
163,33.357,223.509,107.056
164,32.657,223.497,107.050
165,33.114,223.544,106.939
166,32.043,223.650,106.956
167,31.886,223.491,107.059
168,30.843,223.586,106.992
169,32.557,223.438,107.030
170,31.371,223.551,106.968
171,32.057,223.555,106.911
172,31.957,223.504,106.924
173,32.857,223.617,106.976
174,33.043,223.487,106.895
175,32.057,223.546,106.963
176,33.471,223.573,106.896
177,29.414,223.404,106.995
178,32.943,223.648,107.029
179,32.286,223.527,106.931
180,32.157,223.445,106.954
181,31.286,223.457,107.070
182,30.657,223.533,107.049
183,31.643,223.637,106.909
184,31.514,223.458,107.055
185,32.029,223.499,107.001
186,31.286,223.504,107.018
187,31.286,223.510,107.000
188,31.043,223.553,106.924
189,32.100,223.517,106.963
190,33.000,223.523,107.094
191,32.771,223.376,107.056
