 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,36.500,223.605,107.127,47.519,174.608,151.766,53.544,152.624,159.388,56.153,122.462,165.848,63.348,254.637,298.215,56.548,275.302,281.706,50.234,309.238,165.283,69.670,222.007,376.691,59.669,247.578,368.696,55.466,288.914,342.848,73.252,343.734,366.564,60.609,343.849,307.243,59.288,372.423,333.528,69.605,358.315,188.978,62.826,362.607,258.635,85.072,395.304,253.257,72.926,211.375,193.793,46.033,259.725,136.618,59.272,148.750,194.448,58.048,136.821,224.505,46.051,306.493,120.987,41.793,320.434,132.326,38.801,362.948,130.332,36.852,373.602,112.727,42.643,428.530,148.513,83.250,461.950,250.313,70.450,385.538,284.689,73.664,364.278,285.513,55.134,309.771,435.605,49.121,297.985,399.852,48.548,311.779,380.263,65.886,253.508,246.962,83.524,274.365,238.756,65.401,309.478,247.285,47.232,279.330,152.418,43.867,209.194,124.992,39.588,437.418,116.002,102.291,323.443,208.014,62.496,385.303,302.355,56.602,384.734,317.617,44.210,394.441,437.094,93.538,311.588,202.563,75.392,309.798,179.556,58.048,286.015,394.041,51.096,349.052,324.893,72.443,343.339,344.376,33.313,254.018,475.622,39.757,405.346,411.389,63.040,345.712,333.548,60.801,301.648,321.311,53.521,282.737,328.846,47.956,248.216,407.098
2,33.186,223.796,106.825,55.317,174.530,152.105,50.015,153.356,158.966,50.581,122.886,165.246,57.710,253.995,297.806,65.589,276.263,281.974,99.095,308.992,166.435,52.841,221.796,377.219,54.113,246.970,368.737,60.222,288.912,341.955,69.548,343.831,367.179,69.783,343.040,307.912,55.751,372.543,333.727,66.853,358.438,190.042,74.372,362.223,257.905,109.193,396.255,253.653,51.103,210.816,194.123,52.042,259.498,136.917,43.596,148.786,193.740,49.875,136.546,224.914,46.088,306.869,121.346,44.621,321.367,132.383,37.981,362.618,129.719,37.035,373.608,112.400,40.470,428.671,148.544,37.115,461.983,250.380,64.808,385.625,284.461,70.277,364.437,285.375,42.189,310.288,435.993,48.258,297.820,399.844,53.596,312.092,380.557,72.127,253.461,246.119,83.223,274.765,238.815,111.424,310.035,246.654,49.579,279.471,152.770,46.012,210.001,125.254,37.358,437.057,116.194,81.541,322.890,208.063,63.908,385.237,301.649,56.714,383.973,317.189,33.258,394.313,436.832,106.942,311.876,202.536,65.948,309.402,179.702,47.846,285.758,394.227,51.426,348.653,325.199,57.417,343.838,344.556,39.386,254.080,475.520,35.817,405.517,411.254,62.714,345.730,333.487,57.836,301.717,321.267,59.021,282.199,329.297,44.964,248.253,407.227
3,41.571,223.647,107.056,64.298,174.167,151.854,48.066,152.875,159.272,44.194,123.295,165.514,82.816,255.135,298.304,68.411,275.550,282.188,147.336,309.213,167.039,53.977,222.016,376.872,68.205,247.334,368.995,59.608,288.534,342.462,70.748,343.338,366.003,81.722,343.899,307.085,53.492,372.501,333.799,48.944,358.460,189.464,85.616,362.640,258.100,139.187,394.628,253.403,54.596,211.510,193.738,51.748,260.216,136.778,38.934,149.043,193.839,50.365,136.453,224.616,40.566,306.983,121.191,39.243,320.910,132.286,39.506,363.430,130.259,42.209,373.137,112.525,41.052,428.251,148.039,42.413,461.701,250.454,62.113,385.274,285.020,74.036,364.903,284.824,45.896,309.717,435.225,43.484,297.935,399.206,42.815,312.144,380.167,64.307,253.781,247.035,80.578,274.225,238.855,113.520,309.386,246.430,45.226,279.261,152.751,49.361,209.241,125.179,33.081,436.953,115.789,87.993,323.223,207.822,69.567,385.553,302.358,53.647,384.905,317.112,37.234,394.471,436.951,78.048,311.884,202.927,78.577,309.285,179.570,48.087,285.701,393.792,50.338,348.956,325.124,58.130,343.085,344.210,38.373,253.831,475.441,38.104,405.607,411.518,65.929,346.021,333.770,56.055,301.380,320.912,52.870,282.420,328.955,47.336,247.787,407.477
4,44.729,223.179,106.975,64.865,174.597,151.803,47.625,152.848,158.871,41.718,123.309,165.640,79.952,254.438,297.543,73.329,275.033,282.205,141.073,309.051,166.642,53.176,222.004,376.670,77.113,247.862,369.128,62.045,288.895,342.125,68.539,343.166,366.759,82.452,342.824,308.244,53.791,371.976,333.977,46.797,358.385,189.679,68.012,362.316,257.876,144.042,393.892,253.247,63.853,211.259,193.828,53.009,260.178,137.111,41.728,149.228,193.759,55.135,136.621,224.612,36.897,307.327,120.983,40.650,321.013,132.690,39.513,363.347,130.154,39.243,373.253,112.269,38.939,428.944,148.619,44.875,462.092,250.367,66.755,385.983,284.471,64.007,364.131,285.484,52.573,309.484,435.628,50.403,297.886,400.024,48.034,312.055,380.289,56.494,253.639,246.834,76.175,273.889,238.163,100.525,309.643,246.942,43.768,279.300,152.683,51.572,209.464,124.758,37.770,436.537,115.979,79.392,322.832,208.386,69.235,385.277,301.646,55.451,384.245,317.341,38.960,394.381,436.503,93.433,311.449,203.147,78.773,309.284,179.542,65.279,286.085,393.560,55.684,349.125,325.349,66.865,343.371,344.450,38.476,253.841,475.590,42.704,405.434,411.438,64.873,346.177,334.099,51.993,301.423,321.795,68.151,282.499,328.857,48.226,248.440,406.667
5,40.314,223.714,106.530,51.394,174.425,151.963,60.132,152.213,159.092,42.508,122.989,165.468,78.169,254.470,297.685,60.801,275.759,282.383,145.073,309.366,166.792,55.443,221.805,377.114,81.828,248.272,368.945,69.580,289.717,342.120,67.496,343.183,366.342,86.774,343.496,308.149,62.220,372.458,333.944,54.729,358.430,189.971,76.256,362.545,258.228,132.819,394.181,253.522,68.897,211.117,193.278,51.056,260.119,136.929,40.537,149.060,193.721,47.192,136.283,224.908,45.309,307.174,120.982,47.021,321.045,132.140,42.237,363.427,129.934,41.783,373.576,112.071,37.565,428.238,148.699,47.490,462.060,250.711,60.457,385.114,284.712,65.927,364.772,285.740,43.079,310.248,435.412,52.984,298.104,399.732,58.767,312.081,380.704,62.084,253.634,246.434,81.886,274.553,238.620,97.096,309.212,246.961,52.626,279.211,153.029,43.801,208.973,125.040,36.912,436.947,115.951,90.824,322.840,207.997,74.571,385.250,301.823,46.293,384.773,317.408,36.516,394.735,437.088,87.683,312.004,203.201,71.010,309.723,179.616,66.663,285.290,393.813,56.838,348.601,324.922,64.505,342.778,344.447,42.916,253.811,475.416,33.948,405.460,411.242,69.579,345.578,333.573,51.767,301.779,320.496,56.863,282.817,328.980,49.139,248.507,407.322
6,48.900,223.717,107.319,61.894,174.424,152.400,53.478,152.717,159.182,47.935,123.268,165.276,65.536,254.889,297.383,70.349,275.654,281.832,142.796,309.019,166.744,46.619,221.903,377.388,75.695,247.605,368.868,55.295,288.580,342.024,62.200,343.355,366.141,69.670,343.336,307.232,58.554,372.810,333.974,58.469,358.601,189.415,87.558,362.233,258.097,139.590,393.933,253.482,65.426,211.382,193.935,50.243,260.006,136.783,40.353,149.468,193.794,52.962,137.118,224.977,43.787,306.929,120.800,43.364,320.361,132.636,45.872,363.064,130.104,37.661,373.427,112.196,39.539,427.846,148.447,48.087,461.816,250.294,68.020,385.477,284.535,79.197,364.639,285.154,45.006,310.340,434.959,48.879,297.805,399.155,51.295,311.907,380.595,67.452,253.336,247.049,91.952,274.959,238.646,99.723,309.653,246.734,51.605,279.070,152.347,47.753,209.170,125.335,33.588,436.935,116.228,77.034,323.168,208.665,64.374,385.483,302.170,46.549,383.926,317.542,38.734,394.554,436.935,85.683,311.513,203.260,84.227,309.322,180.078,47.115,285.237,393.762,61.199,348.753,324.627,63.021,342.949,344.514,40.012,254.382,475.037,37.452,405.453,411.520,76.976,346.256,333.567,63.747,301.732,321.207,63.753,282.422,328.945,46.985,248.291,407.094
7,32.871,223.536,106.955,58.904,174.761,152.319,51.162,152.640,159.406,44.444,123.053,165.595,76.256,254.837,297.993,79.329,275.352,282.007,129.277,309.205,166.549,54.284,221.990,376.972,67.185,248.190,369.011,64.614,288.819,341.989,54.922,343.424,365.786,77.539,343.160,307.842,53.740,371.719,333.724,57.599,358.394,189.417,79.756,362.676,258.297,142.494,393.809,253.504,78.515,211.474,193.824,49.121,260.154,136.422,46.191,148.777,193.620,46.894,136.595,224.880,44.581,307.095,121.254,46.479,321.205,132.200,40.731,363.232,130.517,45.574,374.011,112.305,36.643,428.539,148.966,45.827,461.926,250.215,64.470,385.361,284.274,72.336,364.564,285.314,48.189,310.061,435.286,45.524,298.310,399.587,50.555,311.667,380.295,64.657,253.748,247.262,84.608,274.644,238.585,109.192,309.710,246.226,52.179,278.605,152.914,47.108,209.787,124.847,33.804,436.858,115.916,77.872,323.174,208.119,57.811,385.432,301.424,53.707,384.580,317.285,38.581,394.505,436.751,85.827,311.899,202.905,73.186,309.227,179.888,58.673,284.989,393.544,62.272,348.744,324.720,65.979,343.051,344.300,35.006,254.090,475.761,37.539,405.301,411.872,72.167,345.667,333.304,66.664,302.166,321.158,61.788,282.881,329.693,50.847,248.301,407.190
8,39.757,224.002,106.938,63.798,174.352,151.828,45.596,153.231,158.861,42.056,123.217,165.584,76.333,254.447,298.208,69.123,275.708,282.322,161.182,309.258,166.745,50.562,221.667,376.815,69.795,247.579,368.852,63.614,288.885,342.175,64.852,342.618,366.054,70.878,342.899,307.360,58.797,372.314,333.504,50.864,358.254,190.011,96.814,362.593,258.100,154.922,393.889,253.267,66.022,211.264,193.795,49.047,260.306,136.354,41.250,148.737,194.011,48.038,136.442,225.245,42.750,306.299,121.315,47.693,320.584,131.826,38.333,362.942,129.650,42.713,373.358,111.836,39.991,428.825,148.560,45.846,462.017,250.410,59.868,385.522,284.844,69.533,364.531,285.229,46.250,310.070,435.563,51.984,298.017,399.803,46.596,312.654,380.077,73.114,253.426,247.193,89.867,274.268,238.063,96.158,309.784,246.663,50.642,279.065,152.009,44.265,209.739,125.096,35.203,436.872,116.127,86.419,323.106,208.772,74.042,384.931,302.152,50.286,384.659,316.959,37.879,394.346,436.894,93.683,311.214,203.269,83.773,309.775,179.890,53.846,285.841,393.373,56.544,348.994,325.650,54.771,342.561,343.783,35.988,254.066,475.134,40.113,405.245,411.398,80.381,346.061,333.598,66.075,301.812,321.295,54.425,282.317,328.998,46.891,247.994,406.968
9,39.743,223.872,107.206,60.519,174.577,151.905,48.801,152.671,159.084,44.274,122.764,165.431,81.589,254.560,297.695,64.199,275.520,282.419,142.642,308.960,166.697,62.983,221.974,377.269,81.132,248.251,369.510,65.903,289.282,342.017,79.983,342.886,366.124,71.939,343.731,307.751,55.689,372.555,333.787,52.859,358.227,189.849,66.291,362.612,258.199,126.404,394.075,253.270,67.162,211.645,194.221,55.407,259.153,136.307,36.787,149.160,193.894,46.317,136.836,224.675,36.441,306.700,120.976,49.036,321.172,132.475,38.840,363.197,130.543,44.678,373.511,112.053,34.322,428.581,148.392,41.702,461.850,250.357,64.060,385.694,284.727,66.153,364.231,285.752,47.091,310.178,435.474,57.468,298.126,399.411,49.651,311.879,380.229,61.880,253.897,246.784,89.530,274.395,238.694,101.678,309.505,246.372,53.326,278.617,152.599,41.283,209.545,124.677,34.770,437.037,115.784,74.014,322.542,207.896,67.756,385.422,301.828,56.677,384.318,317.162,42.774,394.095,436.965,87.625,311.703,203.053,81.825,309.706,179.641,55.154,285.140,393.934,53.507,349.215,325.277,74.880,343.056,344.785,34.277,253.848,475.498,42.957,405.447,411.231,65.190,346.464,333.523,56.938,301.255,321.031,65.897,282.562,328.824,49.445,248.520,407.014
10,48.986,223.032,106.738,56.817,174.664,151.937,44.088,152.684,159.356,49.032,123.385,165.461,85.952,254.707,297.826,63.151,275.555,282.316,135.854,309.281,166.444,59.602,221.726,377.055,67.523,248.181,368.957,59.972,289.727,342.579,74.339,343.176,366.755,92.426,343.636,308.036,60.554,371.956,333.727,53.819,358.332,189.429,84.512,362.027,258.301,134.958,393.917,253.298,66.096,211.152,193.756,54.276,260.031,137.001,44.029,148.702,193.673,50.077,136.462,224.672,38.831,306.653,121.010,42.336,321.019,132.658,43.571,362.811,129.583,38.635,373.325,112.490,35.878,428.359,148.493,43.375,461.749,250.151,72.040,385.860,284.414,70.175,363.816,285.531,57.841,309.535,434.981,56.298,297.762,399.813,47.452,312.329,380.548,69.705,253.501,246.680,82.886,274.317,238.969,107.384,309.648,246.721,52.295,279.436,152.274,44.783,209.918,124.795,33.872,436.886,116.209,85.250,322.586,208.049,65.992,385.588,302.470,55.820,384.532,316.981,41.403,394.378,437.272,89.606,311.521,202.847,77.670,309.590,180.144,65.010,285.568,394.508,49.331,348.795,325.120,68.323,343.157,344.588,38.831,254.283,475.465,40.061,405.348,411.365,69.206,345.622,333.347,55.377,301.363,320.672,54.329,282.634,329.354,47.153,248.775,406.586
